Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Alachua County Sheriff Department,FL,12,,583,4,56,69,454,2403,740,1576,87,,,,,,,,,
Alachua Police Dept,FL,12,9264,40,0,3,4,33,231,66,159,6,431.8,.0,32.4,43.2,356.2,2493.5,712.4,1716.3,64.8
Altamonte Springs Police Dept,FL,12,42296,142,1,9,35,97,1293,181,1042,70,335.7,2.4,21.3,82.8,229.3,3057.0,427.9,2463.6,165.5
Altha Police Dept,FL,12,548,0,0,0,0,0,4,2,2,0,.0,.0,.0,.0,.0,729.9,365.0,365.0,.0
Ansonia Police Dept,FL,12,19271,29,0,4,15,10,455,80,317,58,150.5,.0,20.8,77.8,51.9,2361.1,415.1,1645.0,301.0
Apalachicola Police Dept,FL,12,2273,3,0,1,0,2,24,15,8,1,132.0,.0,44.0,.0,88.0,1055.9,659.9,352.0,44.0
Apopka Police Dept,FL,12,43046,146,1,13,59,73,1316,279,977,60,339.2,2.3,30.2,137.1,169.6,3057.2,648.1,2269.7,139.4
Arcadia Police Dept,FL,12,7747,65,1,4,16,44,194,85,106,3,839.0,12.9,51.6,206.5,568.0,2504.2,1097.2,1368.3,38.7
Astatula Police Dept,FL,12,1861,3,0,1,0,2,23,11,9,3,161.2,.0,53.7,.0,107.5,1235.9,591.1,483.6,161.2
Atlantic Beach Police Dept,FL,12,12925,55,0,2,12,41,312,62,245,5,425.5,.0,15.5,92.8,317.2,2413.9,479.7,1895.6,38.7
Atlantis Police Dept,FL,12,2057,5,0,1,0,4,1,1,0,0,243.1,.0,48.6,.0,194.5,48.6,48.6,.0,.0
Auburndale Police Dept,FL,12,13862,46,0,5,17,24,865,171,671,23,331.8,.0,36.1,122.6,173.1,6240.1,1233.6,4840.6,165.9
Avon Police Dept,FL,12,18162,5,0,2,2,1,169,25,143,1,27.5,.0,11.0,11.0,5.5,930.5,137.7,787.4,5.5
Baker County Sheriff Department,FL,12,,63,0,4,9,50,293,51,228,14,,,,,,,,,
Bal Harbour Police Dept,FL,12,2609,1,0,0,0,1,76,3,73,0,38.3,.0,.0,.0,38.3,2913.0,115.0,2798.0,.0
Bartow Police Dept,FL,12,17740,116,1,6,21,88,994,228,740,26,653.9,5.6,33.8,118.4,496.1,5603.2,1285.2,4171.4,146.6
Bay County Sheriff Department,FL,12,,336,3,41,52,240,2694,702,1871,121,,,,,,,,,
Bay Harbor Islands Police Dept,FL,12,5841,7,0,2,1,4,64,28,30,6,119.8,.0,34.2,17.1,68.5,1095.7,479.4,513.6,102.7
Belle Glade Police Dept,FL,12,17908,366,4,11,35,316,696,272,387,37,2043.8,22.3,61.4,195.4,1764.6,3886.5,1518.9,2161.0,206.6
Belleair Police Dept,FL,12,3925,2,0,1,0,1,118,26,88,4,51.0,.0,25.5,.0,25.5,3006.4,662.4,2242.0,101.9
Belleair Beach Police Dept,FL,12,1582,1,0,0,0,1,35,7,26,2,63.2,.0,.0,.0,63.2,2212.4,442.5,1643.5,126.4
Belleair Bluffs Police D,FL,12,2060,9,0,0,2,7,70,18,48,4,436.9,.0,.0,97.1,339.8,3398.1,873.8,2330.1,194.2
Belleview Police Dept,FL,12,4571,16,1,2,5,8,204,68,121,15,350.0,21.9,43.8,109.4,175.0,4462.9,1487.6,2647.1,328.2
Berlin Police Dept,FL,12,19935,21,0,0,5,16,309,55,243,11,105.3,.0,.0,25.1,80.3,1550.0,275.9,1219.0,55.2
Bethany Beach Police Dept,FL,12,1089,1,0,0,0,1,121,17,103,1,91.8,.0,.0,.0,91.8,11111.1,1561.1,9458.2,91.8
Bethel Police Dept,FL,12,18822,6,0,3,2,1,321,48,263,10,31.9,.0,15.9,10.6,5.3,1705.5,255.0,1397.3,53.1
Biscayne Park Police Dept,FL,12,3169,4,0,0,1,3,32,19,13,0,126.2,.0,.0,31.6,94.7,1009.8,599.6,410.2,.0
Blades Police Dept,FL,12,1275,7,0,1,3,3,31,7,22,2,549.0,.0,78.4,235.3,235.3,2431.4,549.0,1725.5,156.9
Bloomfield Police Dept,FL,12,20557,31,0,5,8,18,505,69,404,32,150.8,.0,24.3,38.9,87.6,2456.6,335.7,1965.3,155.7
Blountstown Police Dept,FL,12,2557,3,0,1,0,2,42,7,34,1,117.3,.0,39.1,.0,78.2,1642.5,273.8,1329.7,39.1
Boca Raton Police Dept,FL,12,86493,164,0,12,62,90,2557,491,1965,101,189.6,.0,13.9,71.7,104.1,2956.3,567.7,2271.9,116.8
Bonifay Police Dept,FL,12,2834,5,0,1,0,4,41,22,17,2,176.4,.0,35.3,.0,141.1,1446.7,776.3,599.9,70.6
Bowling Green Police Dept,FL,12,2987,11,0,0,1,10,70,19,51,0,368.3,.0,.0,33.5,334.8,2343.5,636.1,1707.4,.0
Boynton Beach Police Dept,FL,12,69937,399,5,8,127,259,2988,627,2210,151,570.5,7.1,11.4,181.6,370.3,4272.4,896.5,3160.0,215.9
Bradenton Police Dept,FL,12,50878,341,4,23,94,220,2026,511,1440,75,670.2,7.9,45.2,184.8,432.4,3982.1,1004.4,2830.3,147.4
Bradenton Beach Police Dept,FL,12,1203,5,0,0,1,4,53,9,42,2,415.6,.0,.0,83.1,332.5,4405.7,748.1,3491.3,166.3
Bradford County Sheriff Department,FL,12,,86,0,11,2,73,330,163,154,13,,,,,,,,,
Branford Police Dept,FL,12,28055,21,0,0,10,11,675,56,595,24,74.9,.0,.0,35.6,39.2,2406.0,199.6,2120.8,85.5
Brevard County Sheriff Department,FL,12,,876,13,67,101,695,5233,1254,3788,191,,,,,,,,,
Bridgeport Police Dept,FL,12,146030,1760,22,388,606,744,5153,1377,2908,868,1205.2,15.1,265.7,415.0,509.5,3528.7,943.0,1991.4,594.4
Bridgeville Police Dept,FL,12,2104,17,0,2,2,13,70,14,52,4,808.0,.0,95.1,95.1,617.9,3327.0,665.4,2471.5,190.1
Bristol Police Dept,FL,12,60688,93,3,9,51,30,1590,355,1123,112,153.2,4.9,14.8,84.0,49.4,2620.0,585.0,1850.4,184.6
Brookfield Police Dept,FL,12,16662,2,0,0,0,2,191,36,149,6,12.0,.0,.0,.0,12.0,1146.3,216.1,894.3,36.0
Brooksville Police Dept,FL,12,7841,78,0,6,22,50,459,65,382,12,994.8,.0,76.5,280.6,637.7,5853.8,829.0,4871.8,153.0
Broward County Sheriff Department,FL,12,,335,2,23,76,234,1113,289,770,54,,,,,,,,,
Bunnell Police Dept,FL,12,2754,44,0,1,4,39,115,39,69,7,1597.7,.0,36.3,145.2,1416.1,4175.7,1416.1,2505.4,254.2
Calhoun County Sheriff Department,FL,12,,15,0,1,0,14,68,24,39,5,,,,,,,,,
Camden/Wyoming Police Dept,FL,12,3558,17,0,1,5,11,295,18,275,2,477.8,.0,28.1,140.5,309.2,8291.2,505.9,7729.1,56.2
Canton Town Police Dept,FL,12,10328,1,0,1,0,0,88,7,78,3,9.7,.0,9.7,.0,.0,852.1,67.8,755.2,29.0
Cape Coral Police Dept,FL,12,159625,229,4,16,41,168,3521,860,2547,114,143.5,2.5,10.0,25.7,105.2,2205.8,538.8,1595.6,71.4
Carrabelle Police Dept,FL,12,2823,2,0,0,0,2,18,7,11,0,70.8,.0,.0,.0,70.8,637.6,248.0,389.7,.0
Casselberry Police Dept,FL,12,26747,161,4,9,42,106,1070,205,822,43,601.9,15.0,33.6,157.0,396.3,4000.4,766.4,3073.2,160.8
Cedar Key Police Dept,FL,12,702,3,0,0,0,3,37,11,25,1,427.4,.0,.0,.0,427.4,5270.7,1567.0,3561.3,142.5
Center Hill Police Dept,FL,12,1052,9,0,2,1,6,13,5,7,1,855.5,.0,190.1,95.1,570.3,1235.7,475.3,665.4,95.1
Charlotte County Sheriff Department,FL,12,,387,1,24,33,329,3229,861,2252,116,,,,,,,,,
Chattahoochee Police Dept,FL,12,3686,40,0,1,1,38,80,36,40,4,1085.2,.0,27.1,27.1,1030.9,2170.4,976.7,1085.2,108.5
Cheshire Police Dept,FL,12,29295,4,0,0,4,0,265,48,210,7,13.7,.0,.0,13.7,.0,904.6,163.9,716.8,23.9
Chiefland Police Dept,FL,12,2239,2,0,0,0,2,223,102,118,3,89.3,.0,.0,.0,89.3,9959.8,4555.6,5270.2,134.0
Chipley Police Dept,FL,12,3660,22,0,1,3,18,145,27,117,1,601.1,.0,27.3,82.0,491.8,3961.7,737.7,3196.7,27.3
Citrus County Sheriff Department,FL,12,,451,5,26,57,363,2837,737,1971,129,,,,,,,,,
Clay County Sheriff Department,FL,12,,684,5,33,71,575,3806,732,2959,115,,,,,,,,,
Clayton Police Dept,FL,12,2999,13,0,1,0,12,41,8,33,0,433.5,.0,33.3,.0,400.1,1367.1,266.8,1100.4,.0
Clearwater Police Dept,FL,12,109255,727,3,59,206,459,4264,919,3169,176,665.4,2.7,54.0,188.5,420.1,3902.8,841.2,2900.6,161.1
Clermont Police Dept,FL,12,29523,88,0,9,15,64,728,164,533,31,298.1,.0,30.5,50.8,216.8,2465.9,555.5,1805.4,105.0
Clewiston Police Dept,FL,12,7244,32,0,0,13,19,305,106,194,5,441.7,.0,.0,179.5,262.3,4210.4,1463.3,2678.1,69.0
Clinton Police Dept,FL,12,13326,27,0,16,3,8,302,53,241,8,202.6,.0,120.1,22.5,60.0,2266.2,397.7,1808.5,60.0
Cocoa Police Dept,FL,12,17381,312,2,18,71,221,1343,351,919,73,1795.1,11.5,103.6,408.5,1271.5,7726.8,2019.4,5287.4,420.0
Cocoa Beach Police Dept,FL,12,11388,90,0,5,21,64,828,109,694,25,790.3,.0,43.9,184.4,562.0,7270.8,957.1,6094.1,219.5
Coconut Creek Dept Of Public Safety,FL,12,54651,107,1,10,32,64,1622,270,1265,87,195.8,1.8,18.3,58.6,117.1,2967.9,494.0,2314.7,159.2
Collier County Sheriff Department,FL,12,,785,6,39,146,594,4776,1224,3322,230,,,,,,,,,
Columbia County Sheriff Department,FL,12,,261,0,14,20,227,1178,559,583,36,,,,,,,,,
Connecticut State Police,FL,12,,356,36,54,59,207,4612,1312,2986,314,,,,,,,,,
Cooper City Police Dept,FL,12,29473,48,0,0,9,39,666,120,518,28,162.9,.0,.0,30.5,132.3,2259.7,407.2,1757.5,95.0
Coral Gables Police Dept,FL,12,48435,79,3,4,22,50,2277,409,1757,111,163.1,6.2,8.3,45.4,103.2,4701.1,844.4,3627.5,229.2
Coral Springs Police Dept,FL,12,125021,229,1,10,78,140,2820,572,2098,150,183.2,.8,8.0,62.4,112.0,2255.6,457.5,1678.1,120.0
Coventry Police Dept,FL,12,12451,2,0,2,0,0,170,67,101,2,16.1,.0,16.1,.0,.0,1365.4,538.1,811.2,16.1
Cresent City Police Dept,FL,12,1592,23,0,0,0,23,84,34,50,0,1444.7,.0,.0,.0,1444.7,5276.4,2135.7,3140.7,.0
Crestview Police Dept,FL,12,21574,186,1,14,38,133,933,167,728,38,862.1,4.6,64.9,176.1,616.5,4324.7,774.1,3374.4,176.1
Cromwell Police Dept,FL,12,14075,11,0,1,6,4,290,44,233,13,78.2,.0,7.1,42.6,28.4,2060.4,312.6,1655.4,92.4
Cross City Police Dept,FL,12,1759,7,0,0,0,7,36,10,26,0,398.0,.0,.0,.0,398.0,2046.6,568.5,1478.1,.0
Dade City Police Dept,FL,12,6549,60,1,5,10,44,338,80,246,12,916.2,15.3,76.3,152.7,671.9,5161.1,1221.6,3756.3,183.2
Dagsboro Police Dept,FL,12,822,0,0,0,0,0,24,5,17,2,.0,.0,.0,.0,.0,2919.7,608.3,2068.1,243.3
Danbury Police Dept,FL,12,81891,109,1,23,45,40,1562,287,1201,74,133.1,1.2,28.1,55.0,48.8,1907.4,350.5,1466.6,90.4
Dania Police Department,FL,12,30595,213,1,12,64,136,1494,300,1053,141,696.2,3.3,39.2,209.2,444.5,4883.2,980.6,3441.7,460.9
Darien Police Dept,FL,12,20998,2,0,0,1,1,99,13,85,1,9.5,.0,.0,4.8,4.8,471.5,61.9,404.8,4.8
Davenport Police Dept,FL,12,2971,3,0,0,0,3,61,21,36,4,101.0,.0,.0,.0,101.0,2053.2,706.8,1211.7,134.6
Davie Police Dept,FL,12,94952,369,5,23,74,267,3473,667,2565,241,388.6,5.3,24.2,77.9,281.2,3657.6,702.5,2701.4,253.8
Daytona Beach Police Dept,FL,12,61861,715,4,23,179,509,3869,799,2724,346,1155.8,6.5,37.2,289.4,822.8,6254.3,1291.6,4403.4,559.3
Daytona Beach Shores Police Dept,FL,12,4311,20,0,0,2,18,187,46,134,7,463.9,.0,.0,46.4,417.5,4337.7,1067.0,3108.3,162.4
Defuniak Springs Police Dept,FL,12,5320,53,1,3,11,38,284,70,207,7,996.2,18.8,56.4,206.8,714.3,5338.3,1315.8,3891.0,131.6
Deerfield Beach Police D,FL,12,77431,360,4,17,149,190,2458,594,1680,184,464.9,5.2,22.0,192.4,245.4,3174.4,767.1,2169.7,237.6
Deland Police Dept,FL,12,27410,128,2,1,37,88,1284,281,954,49,467.0,7.3,3.6,135.0,321.1,4684.4,1025.2,3480.5,178.8
Delaware City Police Dept,FL,12,1725,3,0,0,2,1,38,11,27,0,173.9,.0,.0,115.9,58.0,2202.9,637.7,1565.2,.0
Delmar Police Dept,FL,12,1648,10,0,2,3,5,64,26,37,1,606.8,.0,121.4,182.0,303.4,3883.5,1577.7,2245.1,60.7
Delray Beach Police Dept,FL,12,62044,457,6,26,157,268,2950,565,2230,155,736.6,9.7,41.9,253.0,432.0,4754.7,910.6,3594.2,249.8
Derby Police Dept,FL,12,12917,28,1,8,10,9,397,92,271,34,216.8,7.7,61.9,77.4,69.7,3073.5,712.2,2098.0,263.2
De Soto County Sheriff Department,FL,12,,84,0,2,14,68,635,234,381,20,,,,,,,,,
Dewey Beach Police Dept,FL,12,351,7,0,0,1,6,76,9,63,4,1994.3,.0,.0,284.9,1709.4,21652.4,2564.1,17948.7,1139.6
Dixie County Sheriff Department,FL,12,,51,0,5,5,41,397,203,167,27,,,,,,,,,
Dover Police Dept,FL,12,36961,280,1,13,61,205,2189,116,2008,65,757.6,2.7,35.2,165.0,554.6,5922.5,313.8,5432.8,175.9
Dunedin Police Departmen,FL,12,35836,110,2,19,19,70,892,205,655,32,307.0,5.6,53.0,53.0,195.3,2489.1,572.1,1827.8,89.3
Dunnellon Police Dept,FL,12,1764,10,0,0,3,7,24,22,1,1,566.9,.0,.0,170.1,396.8,1360.5,1247.2,56.7,56.7
East Hampton Police Dept,FL,12,13024,5,1,1,1,2,148,34,109,5,38.4,7.7,7.7,7.7,15.4,1136.4,261.1,836.9,38.4
East Hartford Police,FL,12,51431,192,2,26,83,81,1573,362,1029,182,373.3,3.9,50.6,161.4,157.5,3058.5,703.9,2000.7,353.9
East Haven Police Dept,FL,12,29288,32,1,6,15,10,875,166,642,67,109.3,3.4,20.5,51.2,34.1,2987.6,566.8,2192.0,228.8
East Windsor Police Dept,FL,12,11200,18,0,7,6,5,338,61,268,9,160.7,.0,62.5,53.6,44.6,3017.9,544.6,2392.9,80.4
Easton Police Dept,FL,12,7584,0,0,0,0,0,40,17,22,1,.0,.0,.0,.0,.0,527.4,224.2,290.1,13.2
Eatonville Police Dept,FL,12,2229,32,1,0,4,27,114,45,61,8,1435.6,44.9,.0,179.5,1211.3,5114.4,2018.8,2736.7,358.9
Edgewater Police Dept,FL,12,21044,40,0,2,11,27,526,138,360,28,190.1,.0,9.5,52.3,128.3,2499.5,655.8,1710.7,133.1
Edgewood Police Dept,FL,12,2590,3,0,0,0,3,70,16,50,4,115.8,.0,.0,.0,115.8,2702.7,617.8,1930.5,154.4
El Portal Police Dept,FL,12,2412,6,0,0,3,3,82,38,43,1,248.8,.0,.0,124.4,124.4,3399.7,1575.5,1782.8,41.5
Ellendale Police Dept,FL,12,390,0,0,0,0,0,4,4,0,0,.0,.0,.0,.0,.0,1025.6,1025.6,.0,.0
Elsmere Police Dept,FL,12,6240,64,0,0,17,47,169,40,117,12,1025.6,.0,.0,272.4,753.2,2708.3,641.0,1875.0,192.3
Enfield Police Dept,FL,12,44806,30,0,0,12,18,820,198,591,31,67.0,.0,.0,26.8,40.2,1830.1,441.9,1319.0,69.2
Escambia County Sheriff Department,FL,12,,1960,15,132,412,1401,11285,3156,7579,550,,,,,,,,,
Town Of Estes Park Police Dept,FL,12,6059,11,0,1,3,7,96,17,79,0,181.5,.0,16.5,49.5,115.5,1584.4,280.6,1303.8,.0
Eustis Police Dept,FL,12,19062,50,1,6,19,24,646,164,466,16,262.3,5.2,31.5,99.7,125.9,3388.9,860.4,2444.7,83.9
Fairfield Police Dept,FL,12,60122,33,0,2,13,18,1301,231,1000,70,54.9,.0,3.3,21.6,29.9,2163.9,384.2,1663.3,116.4
Farmington Police Dept,FL,12,25429,24,0,2,17,5,629,50,549,30,94.4,.0,7.9,66.9,19.7,2473.6,196.6,2159.0,118.0
Fellsmere Police Dept,FL,12,5300,11,0,0,4,7,105,33,71,1,207.5,.0,.0,75.5,132.1,1981.1,622.6,1339.6,18.9
Felton Police Dept,FL,12,1334,8,0,0,0,8,28,4,24,0,599.7,.0,.0,.0,599.7,2099.0,299.9,1799.1,.0
Fenwick Police Dept,FL,12,388,0,0,0,0,0,35,7,28,0,.0,.0,.0,.0,.0,9020.6,1804.1,7216.5,.0
Fernandina Beach Police Dept,FL,12,11783,41,0,4,8,29,333,74,248,11,348.0,.0,33.9,67.9,246.1,2826.1,628.0,2104.7,93.4
Flagler County Sheriff Department,FL,12,,204,0,5,34,165,1680,362,1255,63,,,,,,,,,
Flagler Beach Police Dept,FL,12,4625,9,1,2,0,6,147,35,108,4,194.6,21.6,43.2,.0,129.7,3178.4,756.8,2335.1,86.5
Florida City Police Dept,FL,12,11668,242,3,6,84,149,1154,230,860,64,2074.0,25.7,51.4,719.9,1277.0,9890.3,1971.2,7370.6,548.5
Fort Lauderdale Police Dept,FL,12,170827,1543,16,48,835,644,9960,2951,6419,590,903.3,9.4,28.1,488.8,377.0,5830.5,1727.5,3757.6,345.4
Fort Myers Police Dept,FL,12,64379,754,24,26,172,532,2346,507,1639,200,1171.2,37.3,40.4,267.2,826.4,3644.0,787.5,2545.9,310.7
Fort Pierce Police Dept,FL,12,42566,472,3,31,137,301,2325,705,1528,92,1108.9,7.0,72.8,321.9,707.1,5462.1,1656.3,3589.7,216.1
Fort Walton Beach Police Dept,FL,12,20063,48,1,4,7,36,772,143,586,43,239.2,5.0,19.9,34.9,179.4,3847.9,712.8,2920.8,214.3
Frankford Police Dept,FL,12,871,2,0,1,0,1,8,3,5,0,229.6,.0,114.8,.0,114.8,918.5,344.4,574.1,.0
Franklin County Sheriff Department,FL,12,,87,1,15,1,70,182,62,110,10,,,,,,,,,
Fruitland Park  Police Dept,FL,12,4188,10,0,0,0,10,190,60,127,3,238.8,.0,.0,.0,238.8,4536.8,1432.7,3032.5,71.6
Gadsen County Sheriff Department,FL,12,,101,3,7,11,80,522,224,270,28,,,,,,,,,
Gainesville Police Dept,FL,12,127036,851,6,74,171,600,5201,1009,3953,239,669.9,4.7,58.3,134.6,472.3,4094.1,794.3,3111.7,188.1
Georgetown Police Dept,FL,12,6596,60,0,4,23,33,308,67,230,11,909.6,.0,60.6,348.7,500.3,4669.5,1015.8,3487.0,166.8
Gilchrist County Sheriff Department,FL,12,,28,0,0,0,28,208,79,116,13,,,,,,,,,
Glades County Sheriff Department,FL,12,,39,0,3,1,35,192,72,111,9,,,,,,,,,
Glastonbury Police Dept,FL,12,34547,22,0,3,9,10,326,55,258,13,63.7,.0,8.7,26.1,28.9,943.6,159.2,746.8,37.6
Golden Beach Police Dept,FL,12,953,0,0,0,0,0,10,5,5,0,.0,.0,.0,.0,.0,1049.3,524.7,524.7,.0
Graceville Police Dept,FL,12,2289,3,0,0,0,3,51,24,25,2,131.1,.0,.0,.0,131.1,2228.0,1048.5,1092.2,87.4
Granby Police Dept,FL,12,11321,2,0,0,1,1,96,5,91,0,17.7,.0,.0,8.8,8.8,848.0,44.2,803.8,.0
Green Cove Springs Police Dept,FL,12,7053,72,0,5,7,60,224,47,172,5,1020.8,.0,70.9,99.2,850.7,3176.0,666.4,2438.7,70.9
Green Acres Police Dept,FL,12,38528,234,0,13,58,163,1185,327,766,92,607.4,.0,33.7,150.5,423.1,3075.7,848.7,1988.2,238.8
Greenwich Police Dept,FL,12,61948,23,0,2,6,15,368,45,301,22,37.1,.0,3.2,9.7,24.2,594.0,72.6,485.9,35.5
Greenwood Police Dept,FL,12,1001,4,0,1,1,2,23,9,13,1,399.6,.0,99.9,99.9,199.8,2297.7,899.1,1298.7,99.9
Gretna Police Dept,FL,12,1472,22,0,0,0,22,15,10,5,0,1494.6,.0,.0,.0,1494.6,1019.0,679.3,339.7,.0
Groton City Police Dept,FL,12,10397,17,0,4,3,10,157,8,139,10,163.5,.0,38.5,28.9,96.2,1510.1,76.9,1336.9,96.2
Groton Long Point Police Dept,FL,12,518,0,0,0,0,0,14,3,9,2,.0,.0,.0,.0,.0,2702.7,579.2,1737.5,386.1
Groton Town Police Dept,FL,12,29231,48,0,8,8,32,610,72,515,23,164.2,.0,27.4,27.4,109.5,2086.8,246.3,1761.8,78.7
Groveland Police Dept,FL,12,8967,11,0,0,2,9,133,46,80,7,122.7,.0,.0,22.3,100.4,1483.2,513.0,892.2,78.1
Guilford Police Dept,FL,12,22400,24,0,3,7,14,293,51,235,7,107.1,.0,13.4,31.3,62.5,1308.0,227.7,1049.1,31.3
Gulf County Sheriff Department,FL,12,,51,1,3,3,44,226,110,109,7,,,,,,,,,
Gulf Breeze Police Dept,FL,12,5950,5,0,1,0,4,142,27,114,1,84.0,.0,16.8,.0,67.2,2386.6,453.8,1916.0,16.8
Gulf Stream Police Dept,FL,12,806,0,0,0,0,0,24,5,17,2,.0,.0,.0,.0,.0,2977.7,620.3,2109.2,248.1
Gulfport Police Dept,FL,12,12205,49,0,4,12,33,570,187,363,20,401.5,.0,32.8,98.3,270.4,4670.2,1532.2,2974.2,163.9
Haines City Police Dept,FL,12,21091,78,1,10,15,52,701,161,512,28,369.8,4.7,47.4,71.1,246.6,3323.7,763.4,2427.6,132.8
Hallandale Police Dept,FL,12,38316,287,4,11,98,174,1863,456,1264,143,749.0,10.4,28.7,255.8,454.1,4862.2,1190.1,3298.9,373.2
Hamden Police Dept,FL,12,61032,322,2,3,39,278,1382,196,1089,97,527.6,3.3,4.9,63.9,455.5,2264.4,321.1,1784.3,158.9
Hamiliton County Sheriff Department,FL,12,,38,0,0,2,36,245,107,128,10,,,,,,,,,
Hardee County Sheriff Department,FL,12,,54,1,8,9,36,505,148,326,31,,,,,,,,,
Harrington Police Dept,FL,12,3659,28,0,2,2,24,191,57,129,5,765.2,.0,54.7,54.7,655.9,5220.0,1557.8,3525.6,136.6
Hartford Police Dept,FL,12,125203,1655,23,27,640,965,5319,1050,3467,802,1321.9,18.4,21.6,511.2,770.7,4248.3,838.6,2769.1,640.6
Havana Police Dept,FL,12,1767,16,1,2,1,12,41,8,32,1,905.5,56.6,113.2,56.6,679.1,2320.3,452.7,1811.0,56.6
Hendry County Sheriff Department,FL,12,,201,0,15,24,162,988,489,452,47,,,,,,,,,
Hernando County Sheriff Department,FL,12,,437,2,40,49,346,4168,1184,2830,154,,,,,,,,,
Hialeah Police Dept,FL,12,233107,810,4,40,260,506,7194,1048,5409,737,347.5,1.7,17.2,111.5,217.1,3086.1,449.6,2320.4,316.2
Hialeah Gardens Police Dept,FL,12,22561,28,0,0,10,18,933,95,782,56,124.1,.0,.0,44.3,79.8,4135.5,421.1,3466.2,248.2
High Springs Police Dept,FL,12,5465,30,0,4,5,21,165,44,113,8,548.9,.0,73.2,91.5,384.3,3019.2,805.1,2067.7,146.4
Highland Beach Police Dept,FL,12,3629,0,0,0,0,0,44,12,30,2,.0,.0,.0,.0,.0,1212.5,330.7,826.7,55.1
Highlands County Sheriff Department,FL,12,,203,3,19,40,141,1908,689,1123,96,,,,,,,,,
Hillsboro Beach Police Dept,FL,12,1936,0,0,0,0,0,31,9,21,1,.0,.0,.0,.0,.0,1601.2,464.9,1084.7,51.7
Hillsborough County Sheriff Department,FL,12,,2152,28,116,495,1513,17903,4143,12707,1053,,,,,,,,,
Holly Hill Police Dept,FL,12,11822,66,1,3,12,50,635,133,433,69,558.3,8.5,25.4,101.5,422.9,5371.3,1125.0,3662.7,583.7
Hollywood Police Dept,FL,12,145313,643,5,38,278,322,7713,1958,5095,660,442.5,3.4,26.2,191.3,221.6,5307.9,1347.4,3506.2,454.2
Holmes County Sheriff Department,FL,12,,42,1,4,3,34,208,74,120,14,,,,,,,,,
Holmes Beach Police Dept,FL,12,3941,9,0,0,1,8,143,47,95,1,228.4,.0,.0,25.4,203.0,3628.5,1192.6,2410.6,25.4
Holyoke Police Dept,FL,12,2322,0,0,0,0,0,10,3,6,1,.0,.0,.0,.0,.0,430.7,129.2,258.4,43.1
Homestead Police Dept,FL,12,62785,1045,4,33,315,693,3216,877,2151,188,1664.4,6.4,52.6,501.7,1103.8,5122.2,1396.8,3426.0,299.4
Hotchkiss Town Police Dept,FL,8,942,2,0,1,0,1,22,3,19,0,,,,,,,,,
Howey In The Hills Police Dept,FL,12,1133,0,0,0,0,0,5,2,3,0,.0,.0,.0,.0,.0,441.3,176.5,264.8,.0
Huerfano County Sheriff Department,FL,12,,1,0,0,0,1,16,3,4,9,,,,,,,,,
Hugo Marshal'S Office,FL,2,739,1,0,0,1,0,2,2,0,0,,,,,,,,,
Hypoluxo,FL,12,2654,2,0,0,2,0,46,16,29,1,75.4,.0,.0,75.4,.0,1733.2,602.9,1092.7,37.7
Idaho Springs Police Dept,FL,12,1726,7,0,0,1,6,71,10,57,4,405.6,.0,.0,57.9,347.6,4113.6,579.4,3302.4,231.7
Ignacio Town Police Dept,FL,12,721,0,0,0,0,0,0,0,0,0,.0,.0,.0,.0,.0,.0,.0,.0,.0
Indialantic Police Dept,FL,12,2758,6,0,0,2,4,64,8,53,3,217.5,.0,.0,72.5,145.0,2320.5,290.1,1921.7,108.8
Indian Creek Police Dept,FL,12,89,0,0,0,0,0,1,0,1,0,.0,.0,.0,.0,.0,1123.6,.0,1123.6,.0
Indian Harbour Beach Police Dept,FL,12,8340,10,0,3,3,4,162,27,129,6,119.9,.0,36.0,36.0,48.0,1942.4,323.7,1546.8,71.9
Indian River County Sheriff Department,FL,12,,319,1,15,38,265,2461,552,1838,71,,,,,,,,,
Indian River Shores Public Safety Dept,FL,12,3978,1,0,0,0,1,20,4,16,0,25.1,.0,.0,.0,25.1,502.8,100.6,402.2,.0
Indian Rocks Beach Pd,FL,12,4173,19,0,1,1,17,134,22,104,8,455.3,.0,24.0,24.0,407.4,3211.1,527.2,2492.2,191.7
Indian Shores Police Dept,FL,12,1440,4,0,0,0,4,69,17,49,3,277.8,.0,.0,.0,277.8,4791.7,1180.6,3402.8,208.3
Inglis Police Dept,FL,12,1322,6,0,0,0,6,50,10,39,1,453.9,.0,.0,.0,453.9,3782.1,756.4,2950.1,75.6
Interlachen Police Dept,FL,12,1415,7,0,0,0,7,79,26,52,1,494.7,.0,.0,.0,494.7,5583.0,1837.5,3674.9,70.7
Jackson County Sheriff Department,FL,11,,2,0,0,0,2,6,2,4,0,,,,,,,,,
Jackson County Sheriff Department,FL,12,,137,0,13,12,112,590,162,406,22,,,,,,,,,
Jacksonville,FL,12,840660,5189,93,341,1371,3384,34674,7632,25403,1639,617.3,11.1,40.6,163.1,402.5,4124.6,907.9,3021.8,195.0
