"","b01001001","b01001a001","b01001b001","b15002003","b15002004","b15002005","b15002006","b15002007","b15002008","b15002009","b15002010","b15002011","b15002012","b15002013","b15002014","b15002015","b15002016","b15002017","b15002018","b19013001","gid","place"
"125",61181,51359,6322,272,0,126,396,444,748,739,479,6786,1382,2842,1505,1836,770,172,649,31989,"16000US1875428","terrehaute"
"126",59941,50694,NA,5,0,0,68,68,56,58,24,1276,449,1741,790,4734,2143,447,1671,40945,"16000US1901855","ames"
"127",127503,111590,7940,355,39,72,514,298,626,769,603,10440,3237,6467,3952,8345,2769,900,411,52455,"16000US1912000","cedarrapids"
"128",205622,160091,21646,604,312,1262,1045,1191,1308,1852,1084,21430,4282,9299,4814,11014,2698,1149,503,44292,"16000US1921000","desmoines"
"129",57908,53207,NA,80,13,50,444,234,344,288,370,6373,1000,2579,1316,3562,1101,418,202,44737,"16000US1922395","dubuque"
"130",24966,22190,NA,40,41,70,298,202,155,334,178,2748,634,1199,844,906,478,194,28,36331,"16000US1928515","fortdodge"
"131",69103,56381,3841,46,9,35,139,156,131,140,139,2489,635,2735,956,4409,2696,1341,1724,41412,"16000US1938595","iowacity"
"132",27959,26360,NA,153,11,52,131,55,127,210,0,3144,1020,1078,1396,1140,314,197,45,40318,"16000US1950160","masoncity"
"133",24887,22794,NA,125,24,123,237,218,192,295,131,3013,520,1006,537,807,322,134,60,35879,"16000US1960465","ottumwa"
"134",3062869,2801934,91807,6747,2912,7101,21116,11077,15166,19187,13251,339794,71155,136497,92915,167898,50391,20220,11735,50773,"04000US19","quadcities"
"135",82828,66295,2785,420,480,332,599,742,671,604,357,8071,2120,3905,1565,3566,1218,495,94,41408,"16000US1973335","siouxcity"
"136",68361,53970,10297,368,91,234,619,349,520,761,653,8178,1369,2519,1776,3215,626,341,34,41492,"16000US1982425","waterloo"
"137",88791,73557,3871,75,0,141,113,280,175,522,139,3638,1119,3814,1099,6115,3219,1031,1595,45514,"16000US2038900","lawrence"
"138",54162,45002,3423,31,0,0,56,97,209,50,73,2084,395,2275,698,3375,1918,326,1184,42950,"16000US2044250","manhattanks"
"139",48637,42448,NA,72,108,249,152,304,162,588,167,5161,1384,2456,736,2191,882,378,141,42116,"16000US2062700","salina"
"140",127895,96926,14173,507,285,387,613,772,793,691,796,12746,2921,5194,2726,6497,2684,1242,353,39118,"16000US2071000","topeka"
"141",384025,287618,41960,1122,1093,1948,1894,2307,2488,2699,2567,32032,9826,21233,6721,22200,7148,2334,1480,44612,"16000US2079000","wichita"
"142",59707,43717,8925,160,194,538,381,245,322,414,258,4400,889,3073,591,2100,921,306,494,31272,"16000US2108902","bowlinggreen"
"143",4364627,3838351,344032,16787,10721,18730,65008,35450,44964,42307,23339,505305,87123,190082,76575,178502,69955,26844,15834,41782,"04000US21","eastky"
"144",4364627,3838351,344032,16787,10721,18730,65008,35450,44964,42307,23339,505305,87123,190082,76575,178502,69955,26844,15834,41782,"04000US21","lexington"
"145",4364627,3838351,344032,16787,10721,18730,65008,35450,44964,42307,23339,505305,87123,190082,76575,178502,69955,26844,15834,41782,"04000US21","louisville"
"146",57763,50965,4360,163,9,99,267,303,499,810,239,7035,1105,2165,1287,2143,994,328,193,37654,"16000US2158620","owensboro"
