"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"5161","San Francisco, CA, USA","San Francisco","CA",797983,72947,408857,49260,5397,3421,7303,5805,4528,4301,3433,6245,45879,9877,37875,17059,97570,40568,15911,8783
"6444","Montague Expressway, CA, USA","Montague Expressway","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6445","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"6446","San Francisco Bay, California, USA","San Francisco Bay","California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6447","Manteca, CA, USA","Manteca","CA",66081,60963,49871,2305,470,129,637,445,410,388,841,601,6246,1514,3595,1550,1768,521,175,100
"6448","Roseville City Elementary, CA, USA","Roseville City Elementary","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6449","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"6450","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"6452","Lathrop, CA, USA","Lathrop","CA",17488,64732,8989,1017,140,103,271,119,59,154,207,137,1359,390,946,375,663,50,49,13
"6453","Sacramento, CA, USA","Sacramento","CA",463537,50781,228608,64409,4244,1906,3687,3536,2167,3026,3365,4047,29974,9029,23290,10953,26639,8432,4310,2008
"5171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5173","Folsom, CA, USA","Folsom","CA",70564,95143,50490,4719,100,70,126,183,377,577,1363,714,5420,1880,3939,1883,6559,2886,573,577
"5174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5175",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5176","Sun City, AZ, USA","Sun City","AZ",38329,36117,36569,659,90,14,112,296,42,235,299,285,4892,1403,3138,941,2291,1081,344,207
"6460","Millbrae Elementary, CA, USA","Millbrae Elementary","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6461","Goleta, CA, USA","Goleta","CA",29634,72870,22082,313,184,84,190,159,156,95,40,279,1487,492,1304,672,2207,1182,229,747
"6462","San Mateo Union High, CA, USA","San Mateo Union High","CA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6463","Milpitas, CA, USA","Milpitas","CA",66038,94589,14415,2329,263,157,310,187,343,250,647,533,4542,1149,2893,2169,6014,2942,171,492
"6464","Stockton, CA, USA","Stockton","CA",289926,47365,132139,34665,3599,1813,4281,2328,1864,2231,3192,2527,20255,5523,13033,6459,8882,2260,1268,745
"6466","Merced, CA, USA","Merced","CA",78111,37025,43792,5273,1049,518,1148,584,540,419,695,860,4451,1279,3680,1731,2062,752,299,127
"6467","Pleasanton, CA, USA","Pleasanton","CA",69220,118713,47055,1733,178,120,32,68,178,37,135,189,2719,816,2746,1913,7209,3770,784,1186
"5184",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
