"","location","City","State","B01001_001","B19013_001","B01001A_001","B01001B_001","B15002_003","B15002_004","B15002_005","B15002_006","B15002_007","B15002_008","B15002_009","B15002_010","B15002_011","B15002_012","B15002_013","B15002_014","B15002_015","B15002_016","B15002_017","B15002_018"
"180","Frederick, MD, USA","Frederick","MD",64593,66161,44228,11271,288,31,506,258,376,478,362,260,4549,1274,2963,1629,4877,1816,463,607
"181","Western, Baltimore, MD, USA","Western","MD",2011,33200,2007,0,11,0,6,47,8,20,38,17,322,29,44,14,30,14,0,0
"182","Massachusetts, USA","Massachusetts","Massachusetts",6512227,65981,5294754,431907,24606,17094,20915,37518,30442,38787,34802,35547,564830,100243,228398,132518,466833,225643,69319,61052
"183","Boston, MA, USA","Boston","MA",609942,51739,327192,153307,3293,2528,3973,4423,2895,3791,3506,4240,42709,6028,18979,7084,44743,20962,8792,5743
"184","Cape Cod, MA, USA","Cape Cod","MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","New Bedford, MA, USA","New Bedford","MA",95006,37493,74592,8079,1277,1452,873,1613,1213,1320,1323,759,9448,1465,2551,1199,2889,864,166,247
"186","Springfield, MA, USA","Springfield","MA",152992,35603,78837,33636,1126,1114,774,1704,1597,1414,1329,1205,14770,2432,4975,2327,3970,1774,499,324
"187","Worcester, MA, USA","Worcester","MA",180519,45846,138626,19068,814,411,720,1462,1163,1479,1210,1017,16265,2672,5953,3574,10914,4164,1112,1038
"188","Michigan, USA","Michigan","Michigan",9920621,48669,7869573,1395245,29743,10437,21211,53738,45981,79733,89376,58358,981042,242114,502293,223292,493863,212902,69136,40732
"189","Ann Arbor, MI, USA","Ann Arbor","MI",114783,53377,83289,9035,64,56,90,205,95,128,181,224,2379,1111,2914,858,8467,6868,2234,4050
"190","Battle Creek, MI, USA","Battle Creek","MI",52534,38760,37874,9879,46,65,197,207,318,358,604,303,5206,1422,2545,1071,1935,763,255,111
"191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Detroit, MI, USA","Detroit","MI",738223,27862,83568,608183,3954,1546,4054,5884,6055,9934,14069,5692,75917,13384,33805,10005,12804,5288,1736,1150
"193","Flint, MI, USA","Flint","MI",105391,26621,42727,56852,341,153,397,691,883,1445,1456,856,11976,2223,4827,1536,1951,704,249,60
"194","Grand Rapids, MI, USA","Grand Rapids","MI",10743,99063,10364,42,0,0,0,0,0,0,0,5,187,100,219,177,1341,586,428,125
"195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Jackson, MI, USA","Jackson","MI",33986,29589,24773,7238,50,47,79,278,284,486,346,239,2997,931,1981,740,951,259,107,22
"197","Kalamazoo, MI, USA","Kalamazoo","MI",74372,31291,53589,15309,161,44,79,362,225,406,397,255,4028,1094,3949,996,3285,1446,493,683
"198","Lansing, MI, USA","Lansing","MI",48441,31694,38000,3489,27,0,10,17,21,10,21,0,584,167,786,250,2277,1232,616,956
"199","Monroe, MI, USA","Monroe","MI",20977,44054,18873,1266,44,46,22,167,157,144,181,103,2099,490,1099,619,860,256,28,54
"200","Muskegon, MI, USA","Muskegon","MI",38775,25863,22377,12773,157,104,165,585,321,426,645,306,5918,847,1785,823,860,261,68,57
"201",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"202","Port Huron, MI, USA","Port Huron","MI",30639,33460,26177,2961,51,7,8,138,193,514,404,209,3926,919,1354,672,871,327,99,40
"203","Saginaw, MI, USA","Saginaw","MI",52525,27445,24963,24062,366,120,136,284,566,740,854,424,5653,1263,1849,675,1127,292,39,65
"204","Michigan, USA","Michigan","Michigan",9920621,48669,7869573,1395245,29743,10437,21211,53738,45981,79733,89376,58358,981042,242114,502293,223292,493863,212902,69136,40732
"205","Upper Peninsula of Michigan, MI, USA","Upper Peninsula of Michigan","MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"206","Minnesota, USA","Minnesota","Minnesota",5278190,58476,4556910,264751,13150,4893,10580,30832,16509,24537,26957,25258,479030,107330,266228,157491,359342,115815,44355,24450
"207",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Twin Cities, MN, USA","Twin Cities","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"211",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"212","Saint Cloud, MN, USA","Saint Cloud","MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"218",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"223",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Lake of the Ozarks, Missouri, USA","Lake of the Ozarks","Missouri",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"226",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"227",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"232",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"235",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Hillsborough Township, NJ, USA","Hillsborough Township","NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"246",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Westchester, NY, USA","Westchester","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"284",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","Eastern Bend, North Carolina, USA","Eastern Bend","North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"288",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"289","Outer Banks, North Carolina, USA","Outer Banks","North Carolina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"291",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"293","North Dakota, USA","North Dakota","North Dakota",666783,49415,602373,7231,1274,540,737,9385,2023,3733,3204,2660,61910,13492,36891,26395,38862,9578,3546,2490
"295","Bismarck, ND, USA","Bismarck","ND",60831,50062,56513,323,71,31,22,537,147,198,326,180,4801,1193,2963,2609,4590,1246,463,270
"296","Fargo, ND, USA","Fargo","ND",104193,42710,94749,2413,159,29,111,490,103,219,437,337,6459,1750,5837,3356,7886,2138,1080,788
"297","Grand Forks, ND, USA","Grand Forks","ND",52403,41661,47287,1102,151,47,11,263,135,197,135,161,3363,778,2721,1357,2962,1161,367,474
"298","Minot, ND, USA","Minot","ND",40002,46687,36149,788,18,46,5,389,55,204,204,171,3444,770,2245,1492,2383,551,142,208
"299","Ohio, USA","Ohio","Ohio",11525536,48071,9592249,1395378,28643,10616,18926,70254,56915,96005,112162,68937,1307334,243923,497164,232347,581078,220445,78048,46560
"300","Akron, OH, USA","Akron","OH",201111,34190,125290,63773,603,226,523,874,1102,2028,2125,1727,22506,3798,8813,4108,7854,2489,1141,537
"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"302",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"303","Cincinnati, OH, USA","Cincinnati","OH",298446,34104,151187,131321,957,656,805,1405,2066,2991,3344,1876,24893,4119,12347,4814,16521,6908,2967,1805
"305","Cleveland, OH, USA","Cleveland","OH",403163,27470,165270,212121,1908,963,1175,2994,3860,6026,8541,3757,43254,7409,18391,6489,10676,3713,1440,685
"306","Columbus, OH, USA","Columbus","OH",779573,43348,490453,216409,2526,1051,1755,3329,3709,5050,7261,4315,64223,14083,34924,13887,53101,16320,5593,3722
"307","Dayton, OH, USA","Dayton","OH",144044,28843,77791,59663,489,122,390,1065,1013,1700,1735,1289,13987,3194,6953,2723,3944,1408,324,486
"308","Chesapeake and Ohio Rlwy, USA","Chesapeake and Ohio Rlwy","Chesapeake and Ohio Rlwy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"308",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","Mansfield, OH, USA","Mansfield","OH",48357,33482,35157,10826,185,43,117,333,451,632,1374,578,6994,1208,2718,1183,1290,433,251,199
"311","Sandusky, OH, USA","Sandusky","OH",25984,34967,18921,5518,71,9,4,244,148,358,382,288,3628,521,1235,476,521,292,77,48
"312","Toledo, OH, USA","Toledo","OH",289628,34170,192167,78104,1036,330,702,1463,1756,2631,3717,2304,32088,6594,14217,5059,9545,2904,1111,881
"313","Tuscarawas, OH, USA","Tuscarawas","OH",1118,36944,1102,0,4,3,0,5,5,2,0,8,168,6,34,22,23,25,10,0
"314","Youngstown, OH, USA","Youngstown","OH",68373,24880,33608,30979,257,257,188,684,689,684,1221,603,9451,1358,3135,885,1591,514,153,140
"314",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"315","Oklahoma City, OK, USA","Oklahoma City","OK",572742,44973,379436,83022,2203,2035,5008,3526,3723,4139,4945,3084,45554,11490,32308,9465,33551,10434,5004,2107
"317","Lawton, OK, USA","Lawton","OK",95391,43633,57420,20159,108,54,172,288,254,614,899,420,9708,2584,5530,1847,3805,1407,400,401
"318","Oklahoma City, OK, USA","Oklahoma City","OK",572742,44973,379436,83022,2203,2035,5008,3526,3723,4139,4945,3084,45554,11490,32308,9465,33551,10434,5004,2107
"319","Stillwater, OK, USA","Stillwater","OK",44985,30133,35730,1854,18,72,121,49,127,38,193,56,1353,463,1835,741,2457,1387,205,926
"320","Tulsa, OK, USA","Tulsa","OK",390704,40268,262955,59595,1384,943,3070,2040,2642,2723,3119,2004,30346,7495,18322,8402,23625,6993,4502,1803
"321","Oregon, USA","Oregon","Oregon",3801991,49850,3245856,68155,10730,9233,18009,19268,17701,23952,27751,24440,313993,96024,224420,99116,233086,87117,31059,21413
"321",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"322","Corvallis, OR, USA","Corvallis","OR",54018,36328,45907,877,65,21,142,155,38,66,86,140,1612,472,2577,930,3169,2109,474,1356
"324","Oregon, USA","Oregon","Oregon",3801991,49850,3245856,68155,10730,9233,18009,19268,17701,23952,27751,24440,313993,96024,224420,99116,233086,87117,31059,21413
"325","Eugene, OR, USA","Eugene","OR",154935,41326,134230,2477,204,167,222,639,426,648,614,679,8514,3357,8945,3082,10987,4667,1633,1697
"326","Klamath Falls, OR, USA","Klamath Falls","OR",20881,33411,18047,123,41,0,113,72,20,250,246,143,1777,465,1184,630,954,346,141,123
"327","Medford, OR, USA","Medford","OR",74438,41969,67729,403,106,65,342,355,398,607,625,520,6466,2041,4942,1647,3711,1212,560,189
"328","Oregon Coast Highway, OR, USA","Oregon Coast Highway","OR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"329","Portland, OR, USA","Portland","OR",576543,50177,446191,36588,1817,1302,2414,2516,2407,3064,3218,3921,39887,12343,33634,12620,50956,18608,8588,4505
"330","Roseburg, OR, USA","Roseburg","OR",21129,40119,19813,178,53,32,20,127,104,228,92,121,2149,696,1311,609,1060,432,119,41
"331","Salem, OR, USA","Salem","OR",153481,44226,126556,1985,656,748,1112,856,866,819,1237,1181,11943,4013,7578,3961,7946,3367,1377,630
"332","Pennsylvania, USA","Pennsylvania","Pennsylvania",12660739,51651,10473096,1358759,34571,12606,24755,85764,66379,104960,105929,68864,1530119,218301,449467,270276,691457,272768,98689,65777
"333","Allentown, PA, USA","Allentown","PA",117386,35737,76917,14768,428,377,764,1154,1156,1667,1784,969,11938,1368,3829,2195,3286,1195,650,286
"334","Altoona, PA, USA","Altoona","PA",46662,35052,43890,1564,114,1,19,163,318,341,486,146,7059,1004,1490,1039,1720,380,99,49
"334",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"335","Erie, PA, USA","Erie","PA",101658,32445,79473,15351,284,262,129,671,511,1083,830,777,12416,1800,3271,1644,4200,1242,443,223
"337","Harrisburg, PA, USA","Harrisburg","PA",49499,32949,17639,26006,256,102,234,144,344,569,706,377,5109,617,1881,682,1619,678,247,123
"338","Lancaster, PA, USA","Lancaster","PA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"338",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"339","Philadelphia, PA, USA","Philadelphia","PA",1081,42697,1081,0,11,0,0,9,0,6,10,20,209,9,35,24,19,3,4,0
"341","Pittsburgh, PA, USA","Pittsburgh","PA",1953,24929,763,1065,6,0,0,0,1,21,0,14,241,30,62,21,42,5,0,9
"341",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","Scranton, PA, USA","Scranton","PA",76081,36968,67180,4191,422,198,305,505,358,933,674,343,9215,1150,2576,1836,3176,964,336,76
"345","State College, PA, USA","State College","PA",42086,23355,34534,1719,23,11,13,36,7,18,110,25,610,143,613,138,1288,1005,114,805
"346","Williamsport, PA, USA","Williamsport","PA",6365,49170,6283,10,0,2,0,14,31,176,82,50,860,68,188,132,366,60,24,29
"347","York, PA, USA","York","PA",8996,65858,8157,377,19,1,16,60,44,54,61,28,1103,124,298,331,717,249,94,23
"348","Rhode Island, USA","Rhode Island","Rhode Island",1053959,55975,863294,62682,5516,3803,4842,9180,7029,9690,8461,6999,90750,17614,40226,24045,64473,26129,8969,5628
"349","South Carolina, USA","South Carolina","South Carolina",4575864,44587,3075318,1281627,16783,13222,24077,37557,38019,50291,47209,29033,446515,79697,197401,106526,229881,79097,26851,16604
"350","Charleston, SC, USA","Charleston","SC",118401,50938,81158,32417,206,188,94,392,318,674,761,282,7053,1592,4829,2452,10424,3314,1842,1086
"351","Columbia, SC, USA","Columbia","SC",128777,38995,66747,55111,389,122,352,821,1030,1258,1228,740,7931,2083,5180,2142,8297,3216,1796,1036
"352","Florence, SC, USA","Florence","SC",36526,42719,19414,16431,117,94,200,163,131,341,320,148,2818,495,1458,930,1605,754,437,230
"353","Greenville, SC, USA","Greenville","SC",58741,40925,38099,18320,225,190,227,313,473,708,498,315,4012,667,2464,939,4746,1652,892,405
"354","Hilton Head Island, SC, USA","Hilton Head Island","SC",37058,71005,31186,3281,42,66,211,137,213,168,107,222,2096,548,1799,682,4864,1732,885,306
"355","Myrtle Beach, SC, USA","Myrtle Beach","SC",27097,36963,19739,3416,149,63,186,134,87,161,245,102,2901,563,1285,673,1783,623,330,102
"356","South Dakota, USA","South Dakota","South Dakota",807697,48010,697042,9347,1307,640,1014,10178,3397,4405,4474,3668,87011,15090,38966,22731,45145,12636,5083,3286
"357","Tennessee, USA","Tennessee","Tennessee",6297991,43989,4949985,1048714,21891,16051,30363,72741,45805,63286,69063,39399,674666,117329,285017,101903,301034,100060,39428,27427
"358","Chattanooga, TN, USA","Chattanooga","TN",166298,36689,97866,58011,1107,382,988,1119,1104,1599,2029,992,15017,3178,7959,2374,9643,2532,1198,829
"359","Clarksville, TN, USA","Clarksville","TN",129778,47483,86790,30621,212,145,390,413,394,492,540,282,11666,3421,7122,2543,5715,1800,414,325
"360","Cookeville, TN, USA","Cookeville","TN",30068,29616,28104,859,134,0,115,218,98,177,303,137,2760,325,1257,328,1631,339,198,415
"361","Knoxville, TN, USA","Knoxville","TN",179085,33467,140287,29961,844,418,475,1075,854,1463,1539,895,14417,3450,6992,4175,10114,3431,1927,1346
"362","Memphis, TN, USA","Memphis","TN",652123,37072,202135,408469,2313,1955,4093,4875,3874,6818,8965,4802,59555,9355,30552,8711,25995,9222,4267,2159
"363","Nashville, TN, USA","Nashville","TN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
