index,region,a,b,c,d,lat,lon,loc
194,grandrapids,\N,\N,\N,\N,-85.6681,42.9634,"Grand Rapids, MI"
195,holland,\N,\N,\N,\N,-86.1089,42.7875,"Holland, MI"
196,jacksonmi,\N,\N,\N,\N,-84.4013,42.2459,"Jackson, MI"
197,kalamazoo,\N,\N,\N,\N,-85.5872,42.2917,"Kalamazoo, MI"
198,lansing,\N,\N,\N,\N,-84.5555,42.7325,"Lansing, MI"
199,monroemi,\N,\N,\N,\N,-83.3977,41.9164,"Monroe, MI"
200,muskegon,\N,\N,\N,\N,-86.2484,43.2342,"Muskegon, MI"
201,northernmichigan,\N,\N,\N,\N,-85.1447,43.7501,"Northern, Barryton, MI 49305"
202,porthuron,\N,\N,\N,\N,-82.4249,42.9709,"Port Huron, MI"
203,saginaw,\N,\N,\N,\N,-83.9508,43.4195,"Saginaw, MI"
204,swmi,\N,\N,\N,\N,-85.6024,44.3148,Michigan
205,up,\N,\N,\N,\N,-87.3952,46.5375,"Upper Peninsula of Michigan, MI"
206,minnesota,\N,\N,\N,\N,-94.6859,46.7296,Minnesota
207,bemidji,\N,\N,\N,\N,-94.8803,47.4736,"Bemidji, MN 56601"
208,duluth,\N,\N,\N,\N,-92.1005,46.7867,"Duluth, MN"
209,mankato,\N,\N,\N,\N,-93.9994,44.1636,"Mankato, MN"
210,minneapolis,\N,\N,\N,\N,-93.20100000000001,44.9375,"Twin Cities, MN"
211,rochestermn,\N,\N,\N,\N,-92.463,44.0234,"Rochester, MN"
212,stcloud,\N,\N,\N,\N,-94.1632,45.5579,"Saint Cloud, MN"
213,mississippi,\N,\N,\N,\N,-89.3985,32.3547,Mississippi
214,biloxi,\N,\N,\N,\N,-88.8853,30.396,"Biloxi, MS"
215,hattiesburg,\N,\N,\N,\N,-89.2903,31.3271,"Hattiesburg, MS"
216,jackson,\N,\N,\N,\N,-90.1848,32.2988,"Jackson, MS"
217,meridian,\N,\N,\N,\N,-88.7037,32.3643,"Meridian, MS"
218,natchez,\N,\N,\N,\N,-91.4032,31.5604,"Natchez, MS"
219,northmiss,\N,\N,\N,\N,-89.3985,32.3547,Mississippi
