ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9131484,HW276457,05/16/2013 01:30:00 AM,070XX S CHAPPEL AVE,0820,THEFT,$500 AND UNDER,APARTMENT,false,true,0331,003,5,43,06,1191139,1858565,2013,05/18/2013 12:40:11 AM,41.766910309881155,-87.57495189695669,"(41.766910309881155, -87.57495189695669)"
9131475,HW276446,05/16/2013 01:30:00 AM,071XX S MAY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0733,007,17,68,08B,1169932,1857269,2013,05/23/2013 12:40:15 AM,41.76384073558754,-87.65272121050141,"(41.76384073558754, -87.65272121050141)"
9131499,HW276459,05/16/2013 01:25:00 AM,057XX S MARSHFIELD AVE,0460,BATTERY,SIMPLE,STREET,true,false,0715,007,15,67,08B,1166277,1866842,2013,05/19/2013 12:39:40 AM,41.790188859140244,-87.66584528161566,"(41.790188859140244, -87.66584528161566)"
9132816,HW277335,05/16/2013 01:13:00 AM,026XX E 74TH ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,true,0334,003,7,43,26,1195248,1856688,2013,05/23/2013 12:40:15 AM,41.761659284118245,-87.55995293259011,"(41.761659284118245, -87.55995293259011)"
9131478,HW276448,05/16/2013 01:10:00 AM,070XX S CLAREMONT AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,0832,008,17,66,18,1161993,1857851,2013,05/19/2013 12:39:40 AM,41.7656065207597,-87.6818033791217,"(41.7656065207597, -87.6818033791217)"
9131470,HW276442,05/16/2013 01:10:00 AM,063XX S ST LOUIS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,true,0823,008,15,66,08B,1154199,1862430,2013,05/18/2013 12:40:11 AM,41.778330460025074,-87.71024959612387,"(41.778330460025074, -87.71024959612387)"
9131460,HW276419,05/16/2013 01:05:00 AM,064XX N CLARK ST,2027,NARCOTICS,POSS: CRACK,POLICE FACILITY/VEH PARKING LOT,true,false,2432,024,40,1,18,1164196,1943190,2013,05/19/2013 12:39:40 AM,41.99973763558644,-87.67131568498044,"(41.99973763558644, -87.67131568498044)"
9131476,HW276444,05/16/2013 01:00:00 AM,061XX S STEWART AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,true,false,0711,007,20,68,18,1174720,1864126,2013,05/19/2013 12:39:40 AM,41.782551816576984,-87.63496808860066,"(41.782551816576984, -87.63496808860066)"
9134032,HW278487,05/16/2013 01:00:00 AM,053XX N VIRGINIA AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2011,020,40,4,06,1155454,1935589,2013,05/23/2013 12:40:15 AM,41.97906109800354,-87.70368098309663,"(41.97906109800354, -87.70368098309663)"
9136314,HW277040,05/16/2013 01:00:00 AM,023XX W MONTANA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,VEHICLE NON-COMMERCIAL,false,false,1432,014,1,22,14,1160457,1916136,2013,05/22/2013 12:45:12 AM,41.92557859817119,-87.6858226235021,"(41.92557859817119, -87.6858226235021)"
9132101,HW276738,05/16/2013 01:00:00 AM,010XX N MENARD AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,false,false,1511,015,29,25,26,1137533,1906605,2013,05/19/2013 12:39:40 AM,41.89986854195535,-87.7702875014133,"(41.89986854195535, -87.7702875014133)"
9131462,HW276429,05/16/2013 01:00:00 AM,024XX N SURREY CT,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1932,019,32,7,14,1167384,1916109,2013,05/18/2013 12:40:11 AM,41.925358149938994,-87.66037030677523,"(41.925358149938994, -87.66037030677523)"
9131497,HW276440,05/16/2013 01:00:00 AM,032XX N SEMINARY AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,VEHICLE NON-COMMERCIAL,true,false,1924,019,44,6,17,1168412,1921861,2013,05/18/2013 12:40:11 AM,41.941119715852416,-87.65642609279708,"(41.941119715852416, -87.65642609279708)"
9132918,HW277554,05/16/2013 01:00:00 AM,030XX N KOLMAR AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2521,025,31,20,07,1145556,1920047,2013,05/23/2013 12:40:15 AM,41.936606467963216,-87.74047723630967,"(41.936606467963216, -87.74047723630967)"
9131677,HW276668,05/16/2013 01:00:00 AM,092XX S WALLACE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,2223,022,21,73,07,1173966,1843593,2013,05/19/2013 12:39:40 AM,41.726223497749324,-87.63834058316893,"(41.726223497749324, -87.63834058316893)"
9131506,HW276436,05/16/2013 01:00:00 AM,006XX E 65TH ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,APARTMENT,true,true,0321,003,20,42,04B,1181468,1862009,2013,05/18/2013 12:40:11 AM,41.77658950947551,-87.61029342685353,"(41.77658950947551, -87.61029342685353)"
9131505,HW276514,05/16/2013 01:00:00 AM,011XX S MASON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1513,015,29,25,08B,1136940,1894173,2013,05/18/2013 12:40:11 AM,41.86576414146977,-87.77276390702433,"(41.86576414146977, -87.77276390702433)"
9131481,HW276430,05/16/2013 12:45:00 AM,095XX S CALUMET AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0511,005,6,49,03,1180228,1841552,2013,05/20/2013 12:42:09 AM,41.72048171190688,-87.61546484837307,"(41.72048171190688, -87.61546484837307)"
9131486,HW276417,05/16/2013 12:44:00 AM,023XX S KENNETH AVE,2027,NARCOTICS,POSS: CRACK,TAXICAB,true,false,1013,010,22,29,18,1147161,1888109,2013,05/19/2013 12:39:40 AM,41.84893447974256,-87.73539657984193,"(41.84893447974256, -87.73539657984193)"
9132815,HW276408,05/16/2013 12:35:00 AM,035XX W 47TH ST,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,true,false,0821,008,14,58,16,1153567,1873283,2013,05/19/2013 12:39:40 AM,41.808125219472295,-87.71227912942012,"(41.808125219472295, -87.71227912942012)"
9131469,HW276433,05/16/2013 12:34:00 AM,070XX S WENTWORTH AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,true,false,0731,007,6,69,18,1176146,1857965,2013,05/19/2013 12:39:40 AM,41.76561345814544,-87.62992473563199,"(41.76561345814544, -87.62992473563199)"
9131483,HW276443,05/16/2013 12:30:00 AM,010XX W GARFIELD BLVD,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,true,false,0934,009,16,61,26,1170550,1868393,2013,05/18/2013 12:40:11 AM,41.79435287287102,-87.65013217342421,"(41.79435287287102, -87.65013217342421)"
9137980,HW283233,05/16/2013 12:30:00 AM,083XX S BURLEY AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,false,false,0424,004,10,46,05,1199303,1850173,2013,05/23/2013 12:40:15 AM,41.74368068662213,-87.5453100043827,"(41.74368068662213, -87.5453100043827)"
9134240,HW278745,05/16/2013 12:30:00 AM,033XX W CRYSTAL ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,false,1422,014,26,23,26,1153831,1908161,2013,05/23/2013 12:40:15 AM,41.9038292270627,-87.71038272370181,"(41.9038292270627, -87.71038272370181)"
9131844,HW276537,05/16/2013 12:30:00 AM,034XX N HAMILTON AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,false,false,1921,019,32,5,05,1161450,1923025,2013,05/19/2013 12:39:40 AM,41.94446180591605,-87.68198153584349,"(41.94446180591605, -87.68198153584349)"
9132167,HW277019,05/16/2013 12:30:00 AM,008XX W BELDEN AVE,0820,THEFT,$500 AND UNDER,COLLEGE/UNIVERSITY GROUNDS,false,false,1812,018,43,7,06,1170501,1915543,2013,05/19/2013 12:39:40 AM,41.92373732000386,-87.6489336399517,"(41.92373732000386, -87.6489336399517)"
9131803,HW276573,05/16/2013 12:30:00 AM,016XX N NATCHEZ AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,2513,025,36,25,06,1132565,1910350,2013,05/18/2013 12:40:11 AM,41.91023332921625,-87.7884479914941,"(41.91023332921625, -87.7884479914941)"
