201,"northernmichigan",\N,\N,\N,\N,-85.1447,43.7501,"Northern, Barryton, MI 49305, USA"
202,"porthuron",\N,\N,\N,\N,-82.4249,42.9709,"Port Huron, MI, USA"
203,"saginaw",\N,\N,\N,\N,-83.9508,43.4195,"Saginaw, MI, USA"
204,"swmi",\N,\N,\N,\N,-85.6024,44.3148,"Michigan, USA"
205,"up",\N,\N,\N,\N,-87.3952,46.5375,"Upper Peninsula of Michigan, MI, USA"
206,"minnesota",\N,\N,\N,\N,-94.6859,46.7296,"Minnesota, USA"
207,"bemidji",\N,\N,\N,\N,-94.8803,47.4736,"Bemidji, MN 56601, USA"
208,"duluth",\N,\N,\N,\N,-92.1005,46.7867,"Duluth, MN, USA"
209,"mankato",\N,\N,\N,\N,-93.9994,44.1636,"Mankato, MN, USA"
210,"minneapolis",\N,\N,\N,\N,-93.201,44.9375,"Twin Cities, MN, USA"
211,"rochestermn",\N,\N,\N,\N,-92.463,44.0234,"Rochester, MN, USA"
212,"stcloud",\N,\N,\N,\N,-94.1632,45.5579,"Saint Cloud, MN, USA"
213,"mississippi",\N,\N,\N,\N,-89.3985,32.3547,"Mississippi, USA"
214,"biloxi",\N,\N,\N,\N,-88.8853,30.396,"Biloxi, MS, USA"
215,"hattiesburg",\N,\N,\N,\N,-89.2903,31.3271,"Hattiesburg, MS, USA"
216,"jackson",\N,\N,\N,\N,-90.1848,32.2988,"Jackson, MS, USA"
217,"meridian",\N,\N,\N,\N,-88.7037,32.3643,"Meridian, MS, USA"
218,"natchez",\N,\N,\N,\N,-91.4032,31.5604,"Natchez, MS, USA"
219,"northmiss",\N,\N,\N,\N,-89.3985,32.3547,"Mississippi, USA"
220,"missouri",\N,\N,\N,\N,-91.8318,37.9643,"Missouri, USA"
221,"columbiamo",\N,\N,\N,\N,-92.3814,39.0469,"Columbia, MO, USA"
222,"joplin",\N,\N,\N,\N,-94.5133,37.0842,"Joplin, MO, USA"
223,"kc",\N,\N,\N,\N,-94.5786,39.0997,"Kansas City, MO, USA"
224,"kirksville",\N,\N,\N,\N,-92.5833,40.1948,"Kirksville, MO 63501, USA"
225,"loz",\N,\N,\N,\N,-92.8104,38.138,"Lake of the Ozarks, Missouri, USA"
226,"semo",\N,\N,\N,\N,-91.8318,37.9643,"Missouri, USA"
227,"springfieldmo",\N,\N,\N,\N,-93.2923,37.209,"Springfield, MO, USA"
228,"stjoseph",\N,\N,\N,\N,-94.8365,39.7579,"St. Joseph, MO, USA"
229,"stlouis",\N,\N,\N,\N,-90.1994,38.627,"St. Louis, MO, USA"
230,"montana",\N,\N,\N,\N,-110.363,46.8797,"Montana, USA"
231,"nebraska",\N,\N,\N,\N,-99.9018,41.4925,"Nebraska, USA"
232,"grandisland",\N,\N,\N,\N,-98.342,40.9264,"Grand Island, NE, USA"
233,"lincoln",\N,\N,\N,\N,-96.6817,40.8069,"Lincoln, NE, USA"
234,"northplatte",\N,\N,\N,\N,-100.76,41.1403,"North Platte, NE, USA"
235,"omaha",\N,\N,\N,\N,-95.998,41.2524,"Omaha, NE, USA"
236,"scottsbluff",\N,\N,\N,\N,-103.667,41.8666,"Scottsbluff, NE, USA"
237,"nevada",\N,\N,\N,\N,-116.419,38.8026,"Nevada, USA"
238,"elko",\N,\N,\N,\N,-115.763,40.8324,"Elko, NV, USA"
239,"lasvegas",\N,\N,\N,\N,-115.173,36.1146,"Las Vegas, NV, USA"
240,"reno",\N,\N,\N,\N,-119.814,39.5296,"Reno, NV, USA"
241,"newhampshire",\N,\N,\N,\N,-71.5724,43.1939,"New Hampshire, USA"
242,"newjersey",\N,\N,\N,\N,-74.4057,40.0583,"New Jersey, USA"
243,"centraljersey",\N,\N,\N,\N,-74.5953,40.5272,"Hillsborough Township, NJ, USA"
244,"jerseyshore",\N,\N,\N,\N,-74.1084,40.0589,"Brick, NJ, USA"
