Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,Extracted Name
Manchester Police Dept,MS,12,18124.0,9.0,0,1.0,1,7,333.0,40,283.0,10,49.7,0.0,5.5,5.5,38.6,1837.3,220.7,1561.5,55.2,manchester
Manhattan Police Dept,MS,12,1564.0,0.0,0,0.0,0,0,18.0,3,14.0,1,0.0,0.0,0.0,0.0,0.0,1150.9,191.8,895.1,63.9,manhattan
Mansfield Police Dept,MS,12,1292.0,3.0,1,1.0,0,1,72.0,15,57.0,0,232.2,77.4,77.4,0.0,77.4,5572.8,1161.0,4411.8,0.0,mansfield
Maplewood Police Dept,MS,12,8059.0,32.0,1,2.0,10,19,587.0,40,528.0,19,397.1,12.4,24.8,124.1,235.8,7283.8,496.3,6551.7,235.8,maplewood
Marble Hill Police Dept,MS,12,1479.0,5.0,0,1.0,0,4,46.0,9,37.0,0,338.1,0.0,67.6,0.0,270.5,3110.2,608.5,2501.7,0.0,marble hill
Marceline City Police Dept,MS,12,2202.0,20.0,1,2.0,0,17,58.0,14,41.0,3,908.3,45.4,90.8,0.0,772.0,2634.0,635.8,1861.9,136.2,marceline city
Maries County Sheriff Office,MS,12,,15.0,0,2.0,1,12,84.0,33,46.0,5,,,,,,,,,,maries county
Marion County Sheriff Office,MS,12,,8.0,1,0.0,0,7,199.0,27,161.0,11,,,,,,,,,,marion county
Marion County Sheriff Department,MS,12,,26.0,1,5.0,5,15,361.0,179,161.0,21,,,,,,,,,,marion county
Marshfield Police Dept,MS,12,6690.0,38.0,0,1.0,1,36,278.0,36,233.0,9,568.0,0.0,14.9,14.9,538.1,4155.5,538.1,3482.8,134.5,marshfield
Marston Police Dept,MS,10,499.0,0.0,0,0.0,0,0,6.0,0,6.0,0,,,,,,,,,,marston
Marthasville Police Dept,MS,12,1139.0,0.0,0,0.0,0,0,4.0,0,4.0,0,0.0,0.0,0.0,0.0,0.0,351.2,0.0,351.2,0.0,marthasville
Martinsburg Police Dept,MS,12,305.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,martinsburg
Maryland Heights Police Dept,MS,12,27518.0,58.0,0,5.0,11,42,592.0,74,489.0,29,210.8,0.0,18.2,40.0,152.6,2151.3,268.9,1777.0,105.4,maryland heights
Maryville Public Safety Dept,MS,12,12039.0,12.0,1,0.0,2,9,216.0,27,183.0,6,99.7,8.3,0.0,16.6,74.8,1794.2,224.3,1520.1,49.8,maryville
Matthews Police Dept,MS,12,623.0,1.0,0,0.0,0,1,22.0,6,14.0,2,160.5,0.0,0.0,0.0,160.5,3531.3,963.1,2247.2,321.0,matthews
Maysville Police Dept,MS,12,1102.0,0.0,0,0.0,0,0,9.0,3,6.0,0,0.0,0.0,0.0,0.0,0.0,816.7,272.2,544.5,0.0,maysville
Mccomb Police Dept,MS,12,12818.0,71.0,0,3.0,23,45,727.0,173,525.0,29,553.9,0.0,23.4,179.4,351.1,5671.7,1349.7,4095.8,226.2,mccomb
Mccone County Sheriff Office,MS,12,,1.0,1,0.0,0,0,5.0,0,5.0,0,,,,,,,,,,mccone county
Mcdonald County Sheriff Department,MS,12,,122.0,1,1.0,3,117,274.0,83,171.0,20,,,,,,,,,,mcdonald county
Meagher County Sheriff Office,MS,12,,3.0,0,0.0,0,3,22.0,2,19.0,1,,,,,,,,,,meagher county
Memphis Police Dept,MS,12,1820.0,0.0,0,0.0,0,0,28.0,7,21.0,0,0.0,0.0,0.0,0.0,0.0,1538.5,384.6,1153.8,0.0,memphis
Mendenhall Police Dept,MS,5,2492.0,0.0,0,0.0,0,0,1.0,0,1.0,0,,,,,,,,,,mendenhall
Mercer County Sheriff Department,MS,12,,1.0,0,0.0,0,1,20.0,7,12.0,1,,,,,,,,,,mercer county
Meridian Police Dept,MS,12,41347.0,234.0,10,33.0,124,67,2139.0,734,1226.0,179,565.9,24.2,79.8,299.9,162.0,5173.3,1775.2,2965.1,432.9,meridian
Mexico Public Safety Dept,MS,12,11583.0,38.0,0,5.0,4,29,296.0,49,246.0,1,328.1,0.0,43.2,34.5,250.4,2555.5,423.0,2123.8,8.6,mexico
Milan City Police Dept,MS,12,1948.0,0.0,0,0.0,0,0,9.0,1,7.0,1,0.0,0.0,0.0,0.0,0.0,462.0,51.3,359.3,51.3,milan city
Miles Police Dept,MS,12,8497.0,22.0,0,3.0,0,19,200.0,15,173.0,12,258.9,0.0,35.3,0.0,223.6,2353.8,176.5,2036.0,141.2,miles
Miller County Sheriff Office,MS,12,,18.0,0,4.0,0,14,289.0,113,168.0,8,,,,,,,,,,miller county
Miller Police Dept,MS,12,701.0,8.0,0,2.0,0,6,15.0,2,13.0,0,1141.2,0.0,285.3,0.0,855.9,2139.8,285.3,1854.5,0.0,miller
Miner Police Dept,MS,12,984.0,25.0,0,0.0,3,22,81.0,10,69.0,2,2540.7,0.0,0.0,304.9,2235.8,8231.7,1016.3,7012.2,203.3,miner
Mineral County Sheriff Office,MS,12,,1.0,0,0.0,0,1,5.0,1,4.0,0,,,,,,,,,,mineral county
Mississippi County Sheriff Office,MS,12,,10.0,0,0.0,1,9,52.0,19,30.0,3,,,,,,,,,,mississippi county
Missoula City Police Dept,MS,12,67758.0,221.0,0,25.0,33,163,3041.0,378,2558.0,105,326.2,0.0,36.9,48.7,240.6,4488.0,557.9,3775.2,155.0,missoula city
Missoula County Sheriff Office,MS,12,,100.0,0,16.0,5,79,479.0,80,358.0,41,,,,,,,,,,missoula county
Moberly Police Dept,MS,12,13966.0,26.0,0,1.0,7,18,584.0,85,476.0,23,186.2,0.0,7.2,50.1,128.9,4181.6,608.6,3408.3,164.7,moberly
Moline Acres Police Dept,MS,12,2446.0,23.0,1,1.0,3,18,127.0,25,97.0,5,940.3,40.9,40.9,122.6,735.9,5192.2,1022.1,3965.7,204.4,moline acres
Monett Police Dept,MS,12,8841.0,21.0,0,1.0,4,16,479.0,118,337.0,24,237.5,0.0,11.3,45.2,181.0,5417.9,1334.7,3811.8,271.5,monett
Moniteau County Sheriff Department,MS,12,,10.0,0,0.0,0,10,97.0,45,49.0,3,,,,,,,,,,moniteau county
Monroe County Sheriff Department,MS,12,,4.0,0,1.0,0,3,45.0,15,25.0,5,,,,,,,,,,monroe county
Monroe Police Dept,MS,12,2509.0,5.0,0,1.0,0,4,45.0,9,34.0,2,199.3,0.0,39.9,0.0,159.4,1793.5,358.7,1355.1,79.7,monroe
Montgomery County Sheriff Office,MS,12,,3.0,0,0.0,0,3,61.0,20,37.0,4,,,,,,,,,,montgomery county
Montgomery Police Dept,MS,12,2848.0,8.0,0,0.0,0,8,55.0,15,38.0,2,280.9,0.0,0.0,0.0,280.9,1931.2,526.7,1334.3,70.2,montgomery
Morehouse Police Dept,MS,12,967.0,0.0,0,0.0,0,0,8.0,2,4.0,2,0.0,0.0,0.0,0.0,0.0,827.3,206.8,413.7,206.8,morehouse
Morgan County Sheriff Department,MS,12,,97.0,3,0.0,1,93,280.0,126,133.0,21,,,,,,,,,,morgan county
Morley Police Dept,MS,12,697.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,morley
Morton Town Police Dept,MS,11,3483.0,18.0,0,0.0,11,7,78.0,37,35.0,6,,,,,,,,,,morton town
Moscow Mills Police Dept,MS,12,2539.0,6.0,0,0.0,0,6,39.0,10,28.0,1,236.3,0.0,0.0,0.0,236.3,1536.0,393.9,1102.8,39.4,moscow mills
Moss Point Police Dept,MS,12,13756.0,104.0,0,12.0,29,63,736.0,314,368.0,54,756.0,0.0,87.2,210.8,458.0,5350.4,2282.6,2675.2,392.6,moss point
Mound City Police Dept,MS,12,1139.0,3.0,0,0.0,0,3,22.0,5,17.0,0,263.4,0.0,0.0,0.0,263.4,1931.5,439.0,1492.5,0.0,mound city
Mt Vernon Police Dept,MS,12,4586.0,24.0,0,1.0,2,21,211.0,23,180.0,8,523.3,0.0,21.8,43.6,457.9,4601.0,501.5,3925.0,174.4,mt vernon
Mountain Grove Police Dept,MS,10,4773.0,30.0,0,1.0,1,28,142.0,24,113.0,5,,,,,,,,,,mountain grove
Mountain View Police Dept,MS,12,2741.0,19.0,0,2.0,0,17,127.0,20,106.0,1,693.2,0.0,73.0,0.0,620.2,4633.3,729.7,3867.2,36.5,mountain view
Musselshell County Sheriff Office,MS,12,,17.0,0,6.0,0,11,91.0,11,74.0,6,,,,,,,,,,musselshell county
Napoleon Police Dept,MS,12,221.0,0.0,0,0.0,0,0,6.0,3,1.0,2,0.0,0.0,0.0,0.0,0.0,2714.9,1357.5,452.5,905.0,napoleon
Natchez Police Dept,MS,12,15706.0,58.0,3,11.0,26,18,845.0,185,651.0,9,369.3,19.1,70.0,165.5,114.6,5380.1,1177.9,4144.9,57.3,natchez
Naylor Police Dept,MS,12,635.0,0.0,0,0.0,0,0,9.0,7,2.0,0,0.0,0.0,0.0,0.0,0.0,1417.3,1102.4,315.0,0.0,naylor
Neosho City Police Dept,MS,12,11916.0,33.0,0,6.0,2,25,515.0,95,397.0,23,276.9,0.0,50.4,16.8,209.8,4321.9,797.2,3331.7,193.0,neosho city
Nevada Police Dept,MS,12,8328.0,49.0,0,3.0,9,37,868.0,140,684.0,44,588.4,0.0,36.0,108.1,444.3,10422.7,1681.1,8213.3,528.3,nevada
New Albany City Police Dept,MS,10,8111.0,1.0,0,0.0,1,0,54.0,10,43.0,1,,,,,,,,,,new albany city
New Augusta Police Dept,MS,2,638.0,0.0,0,0.0,0,0,3.0,1,2.0,0,,,,,,,,,,new augusta
New Bloomfield Police Dept,MS,12,671.0,0.0,0,0.0,0,0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,149.0,0.0,149.0,0.0,new bloomfield
New Franklin Police Dept,MS,12,1099.0,2.0,0,0.0,0,2,4.0,1,3.0,0,182.0,0.0,0.0,0.0,182.0,364.0,91.0,273.0,0.0,new franklin
New Haven Police Dept,MS,12,2101.0,6.0,0,0.0,1,5,37.0,5,31.0,1,285.6,0.0,0.0,47.6,238.0,1761.1,238.0,1475.5,47.6,new haven
New London Police Dept,MS,12,987.0,0.0,0,0.0,0,0,25.0,4,21.0,0,0.0,0.0,0.0,0.0,0.0,2532.9,405.3,2127.7,0.0,new london
New Madrid County Sheriff Department,MS,12,,22.0,2,1.0,1,18,53.0,17,31.0,5,,,,,,,,,,new madrid county
New Madrid Police Dept,MS,12,3093.0,0.0,0,0.0,0,0,42.0,0,42.0,0,0.0,0.0,0.0,0.0,0.0,1357.9,0.0,1357.9,0.0,new madrid
Village Of New Melle Police Dept,MS,12,481.0,1.0,0,0.0,0,1,9.0,1,8.0,0,207.9,0.0,0.0,0.0,207.9,1871.1,207.9,1663.2,0.0,village of new melle
Newburg Police Dept,MS,12,470.0,0.0,0,0.0,0,0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,212.8,0.0,212.8,0.0,newburg
Newton County Sheriff Office,MS,12,,74.0,3,17.0,4,50,909.0,254,575.0,80,,,,,,,,,,newton county
Newton Police Dept,MS,12,3346.0,0.0,0,0.0,0,0,5.0,4,0.0,1,0.0,0.0,0.0,0.0,0.0,149.4,119.5,0.0,29.9,newton
Nixa Police Dept,MS,12,19339.0,23.0,0,5.0,1,17,357.0,64,287.0,6,118.9,0.0,25.9,5.2,87.9,1846.0,330.9,1484.0,31.0,nixa
Nodaway County Sheriff Office,MS,12,,13.0,0,3.0,1,9,101.0,34,58.0,9,,,,,,,,,,nodaway county
Noel Police Dept,MS,12,1825.0,8.0,0,0.0,0,8,31.0,4,27.0,0,438.4,0.0,0.0,0.0,438.4,1698.6,219.2,1479.5,0.0,noel
Norborne Police Dept,MS,9,706.0,1.0,0,0.0,0,1,0.0,0,0.0,0,,,,,,,,,,norborne
Normandy,MS,12,5015.0,27.0,0,1.0,3,23,121.0,28,83.0,10,538.4,0.0,19.9,59.8,458.6,2412.8,558.3,1655.0,199.4,normandy
North Kansas City Police Dept,MS,12,4279.0,13.0,0,0.0,6,7,333.0,31,263.0,39,303.8,0.0,0.0,140.2,163.6,7782.2,724.5,6146.3,911.4,north kansas city
North Moor Police Dept,MS,12,332.0,1.0,0,0.0,0,1,17.0,1,11.0,5,301.2,0.0,0.0,0.0,301.2,5120.5,301.2,3313.3,1506.0,north moor
Northwoods Police Dept,MS,12,4233.0,28.0,0,0.0,7,21,147.0,54,78.0,15,661.5,0.0,0.0,165.4,496.1,3472.7,1275.7,1842.7,354.4,northwoods
O'Fallon Police Dept,MS,12,80670.0,74.0,2,5.0,4,63,1246.0,125,1100.0,21,91.7,2.5,6.2,5.0,78.1,1544.6,155.0,1363.6,26.0,o'fallon
Oak Grove,MS,12,7834.0,8.0,0,2.0,2,4,223.0,26,188.0,9,102.1,0.0,25.5,25.5,51.1,2846.6,331.9,2399.8,114.9,oak grove
Oakland Police Dept,MS,12,1383.0,1.0,0,0.0,0,1,2.0,0,2.0,0,72.3,0.0,0.0,0.0,72.3,144.6,0.0,144.6,0.0,oakland
Oakview Village Police Dept,MS,11,381.0,2.0,0,0.0,0,2,2.0,0,2.0,0,,,,,,,,,,oakview village
Ocean Springs Police Dept,MS,12,17510.0,34.0,2,2.0,5,25,549.0,106,419.0,24,194.2,11.4,11.4,28.6,142.8,3135.4,605.4,2392.9,137.1,ocean springs
Odessa City Police Dept,MS,12,5283.0,9.0,1,0.0,2,6,134.0,25,101.0,8,170.4,18.9,0.0,37.9,113.6,2536.4,473.2,1911.8,151.4,odessa city
Oktibbeha County Sheriff Office,MS,8,,26.0,3,3.0,3,17,213.0,94,110.0,9,,,,,,,,,,oktibbeha county
Old Monroe Police Dept,MS,12,269.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,old monroe
Olive Branch Police Dept,MS,12,34141.0,70.0,1,12.0,17,40,999.0,402,562.0,35,205.0,2.9,35.1,49.8,117.2,2926.1,1177.5,1646.1,102.5,olive branch
Olivette Police Dept,MS,12,7751.0,9.0,0,2.0,1,6,144.0,28,107.0,9,116.1,0.0,25.8,12.9,77.4,1857.8,361.2,1380.5,116.1,olivette
Oran Police Dept,MS,12,1295.0,1.0,0,0.0,0,1,11.0,4,7.0,0,77.2,0.0,0.0,0.0,77.2,849.4,308.9,540.5,0.0,oran
Oregon County Sheriff Department,MS,12,,22.0,1,0.0,1,20,55.0,23,32.0,0,,,,,,,,,,oregon county
Oregon Police Dept,MS,12,843.0,0.0,0,0.0,0,0,4.0,3,1.0,0,0.0,0.0,0.0,0.0,0.0,474.5,355.9,118.6,0.0,oregon
Oronogo Police Dept,MS,12,2968.0,0.0,0,0.0,0,0,22.0,2,20.0,0,0.0,0.0,0.0,0.0,0.0,741.2,67.4,673.9,0.0,oronogo
Orrick Police Dept,MS,12,829.0,1.0,0,0.0,0,1,15.0,2,8.0,5,120.6,0.0,0.0,0.0,120.6,1809.4,241.3,965.0,603.1,orrick
Osage County Sheriff Department,MS,12,,5.0,0,1.0,0,4,115.0,50,46.0,19,,,,,,,,,,osage county
Osage Beach Police Dept,MS,12,4330.0,32.0,0,2.0,2,28,295.0,28,259.0,8,739.0,0.0,46.2,46.2,646.7,6812.9,646.7,5981.5,184.8,osage beach
Osceola Police Dept,MS,12,934.0,10.0,0,0.0,0,10,29.0,6,16.0,7,1070.7,0.0,0.0,0.0,1070.7,3104.9,642.4,1713.1,749.5,osceola
Overland Police Dept,MS,12,16089.0,54.0,1,7.0,21,25,697.0,182,492.0,23,335.6,6.2,43.5,130.5,155.4,4332.2,1131.2,3058.0,143.0,overland
Owensville Police Dept,MS,12,2672.0,4.0,0,0.0,0,4,48.0,2,45.0,1,149.7,0.0,0.0,0.0,149.7,1796.4,74.9,1684.1,37.4,owensville
Oxford City Police Dept,MS,12,19435.0,8.0,0,1.0,3,4,210.0,50,147.0,13,41.2,0.0,5.1,15.4,20.6,1080.5,257.3,756.4,66.9,oxford city
Ozark City Police Dept,MS,12,18116.0,44.0,0,2.0,4,38,618.0,108,491.0,19,242.9,0.0,11.0,22.1,209.8,3411.3,596.2,2710.3,104.9,ozark city
Ozark County Sheriff Department,MS,12,,30.0,1,2.0,2,25,139.0,82,55.0,2,,,,,,,,,,ozark county
Pacific Police Dept,MS,12,7041.0,24.0,0,1.0,2,21,177.0,36,127.0,14,340.9,0.0,14.2,28.4,298.3,2513.8,511.3,1803.7,198.8,pacific
Pagedale Police Dept,MS,12,3308.0,27.0,2,3.0,6,16,139.0,52,76.0,11,816.2,60.5,90.7,181.4,483.7,4201.9,1571.9,2297.5,332.5,pagedale
Palmyra Police Dept,MS,12,3594.0,5.0,0,0.0,0,5,79.0,11,66.0,2,139.1,0.0,0.0,0.0,139.1,2198.1,306.1,1836.4,55.6,palmyra
Panola County Sheriff Office,MS,12,,115.0,2,1.0,4,108,739.0,398,319.0,22,,,,,,,,,,panola county
Park County Sheriff Office,MS,12,,15.0,0,2.0,0,13,61.0,8,44.0,9,,,,,,,,,,park county
Park Hills Police Dept,MS,9,8808.0,6.0,0,1.0,1,4,122.0,10,105.0,7,,,,,,,,,,park hills
Parkville Police Dept,MS,12,5658.0,5.0,0,0.0,2,3,122.0,17,104.0,1,88.4,0.0,0.0,35.3,53.0,2156.2,300.5,1838.1,17.7,parkville
Parma Police Dept,MS,12,708.0,9.0,0,0.0,1,8,12.0,2,9.0,1,1271.2,0.0,0.0,141.2,1129.9,1694.9,282.5,1271.2,141.2,parma
Pasadena Park,MS,12,471.0,0.0,0,0.0,0,0,14.0,4,10.0,0,0.0,0.0,0.0,0.0,0.0,2972.4,849.3,2123.1,0.0,pasadena park
Pascagoula Police Dept,MS,12,22477.0,86.0,0,31.0,33,22,1339.0,268,991.0,80,382.6,0.0,137.9,146.8,97.9,5957.2,1192.3,4409.0,355.9,pascagoula
Pass Christian Police Dept,MS,12,4722.0,9.0,1,3.0,1,4,168.0,51,108.0,9,190.6,21.2,63.5,21.2,84.7,3557.8,1080.1,2287.2,190.6,pass christian
Pearl Police Dept,MS,12,25530.0,33.0,0,10.0,2,21,629.0,172,446.0,11,129.3,0.0,39.2,7.8,82.3,2463.8,673.7,1747.0,43.1,pearl
Peculiar Police Dept,MS,12,4645.0,11.0,0,1.0,2,8,99.0,19,76.0,4,236.8,0.0,21.5,43.1,172.2,2131.3,409.0,1636.2,86.1,peculiar
Pemiscot County Sheriff Office,MS,12,,15.0,0,1.0,3,11,122.0,47,68.0,7,,,,,,,,,,pemiscot county
Perry County Sheriff Department,MS,12,,12.0,0,0.0,0,12,75.0,28,41.0,6,,,,,,,,,,perry county
Perry Police Dept,MS,12,702.0,1.0,0,0.0,0,1,9.0,2,7.0,0,142.5,0.0,0.0,0.0,142.5,1282.1,284.9,997.2,0.0,perry
Perryville Police Dept,MS,12,8272.0,16.0,0,1.0,2,13,193.0,36,153.0,4,193.4,0.0,12.1,24.2,157.2,2333.2,435.2,1849.6,48.4,perryville
Petal Police Dept,MS,12,10610.0,2.0,0,0.0,1,1,73.0,32,38.0,3,18.9,0.0,0.0,9.4,9.4,688.0,301.6,358.2,28.3,petal
Pettis County Sheriff Office,MS,12,,16.0,0,1.0,1,14,349.0,117,207.0,25,,,,,,,,,,pettis county
Pevely Police Dept,MS,12,5512.0,14.0,0,0.0,2,12,122.0,25,91.0,6,254.0,0.0,0.0,36.3,217.7,2213.4,453.6,1650.9,108.9,pevely
Phelps County Sheriff'F Office,MS,12,,49.0,0,6.0,1,42,433.0,104,305.0,24,,,,,,,,,,phelps county sheriff'f office
Philadelphia Police Dept,MS,12,7529.0,52.0,0,4.0,11,37,319.0,144,164.0,11,690.7,0.0,53.1,146.1,491.4,4237.0,1912.6,2178.2,146.1,philadelphia
Phillips County Sheriff Office,MS,12,,7.0,0,0.0,0,7,77.0,3,68.0,6,,,,,,,,,,phillips county
Picayune Police Dept,MS,12,10877.0,29.0,0,3.0,9,17,410.0,97,294.0,19,266.6,0.0,27.6,82.7,156.3,3769.4,891.8,2703.0,174.7,picayune
Piedmont Police Dept,MS,12,1977.0,3.0,0,0.0,0,3,40.0,9,28.0,3,151.7,0.0,0.0,0.0,151.7,2023.3,455.2,1416.3,151.7,piedmont
Pierce City Police Dept,MS,12,1295.0,1.0,0,1.0,0,0,24.0,12,10.0,2,77.2,0.0,77.2,0.0,0.0,1853.3,926.6,772.2,154.4,pierce city
Pike County Sheriff Department,MS,12,,9.0,0,0.0,0,9,133.0,53,69.0,11,,,,,,,,,,pike county
Pike County Sheriff Department,MS,12,,23.0,2,1.0,2,18,321.0,154,155.0,12,,,,,,,,,,pike county
Pilot Grove Police Dept,MS,12,772.0,2.0,0,0.0,0,2,18.0,3,15.0,0,259.1,0.0,0.0,0.0,259.1,2331.6,388.6,1943.0,0.0,pilot grove
Pilot Knob Police Dept,MS,12,745.0,0.0,0,0.0,0,0,4.0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,536.9,268.5,268.5,0.0,pilot knob
Pine Lawn Police Dept,MS,12,3279.0,36.0,0,4.0,7,25,108.0,49,50.0,9,1097.9,0.0,122.0,213.5,762.4,3293.7,1494.4,1524.9,274.5,pine lawn
Pineville Police Dept,MS,12,793.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pineville
Plains Town Police Dept,MS,12,1057.0,2.0,0,0.0,0,2,10.0,0,9.0,1,189.2,0.0,0.0,0.0,189.2,946.1,0.0,851.5,94.6,plains town
Platte County Sheriff Department,MS,12,,55.0,2,3.0,1,49,353.0,87,240.0,26,,,,,,,,,,platte county
Platte Police Dept,MS,12,4782.0,7.0,0,1.0,1,5,97.0,5,88.0,4,146.4,0.0,20.9,20.9,104.6,2028.4,104.6,1840.2,83.6,platte
Platte Woods Police Dept,MS,12,393.0,2.0,0,0.0,1,1,10.0,2,8.0,0,508.9,0.0,0.0,254.5,254.5,2544.5,508.9,2035.6,0.0,platte woods
Plattsburg Police Dept,MS,12,2328.0,7.0,0,2.0,1,4,67.0,9,53.0,5,300.7,0.0,85.9,43.0,171.8,2878.0,386.6,2276.6,214.8,plattsburg
Pleasant Hill Police Dept,MS,12,8176.0,6.0,0,1.0,0,5,96.0,14,81.0,1,73.4,0.0,12.2,0.0,61.2,1174.2,171.2,990.7,12.2,pleasant hill
Pleasant Hope Police Dept,MS,12,616.0,1.0,0,0.0,0,1,5.0,2,3.0,0,162.3,0.0,0.0,0.0,162.3,811.7,324.7,487.0,0.0,pleasant hope
Pleasant Valley Police Dept,MS,12,3008.0,2.0,0,1.0,0,1,53.0,20,33.0,0,66.5,0.0,33.2,0.0,33.2,1762.0,664.9,1097.1,0.0,pleasant valley
Polk County Sheriff Office,MS,12,,78.0,1,6.0,1,70,402.0,141,240.0,21,,,,,,,,,,polk county
Polo City Police Dept,MS,12,568.0,0.0,0,0.0,0,0,8.0,1,5.0,2,0.0,0.0,0.0,0.0,0.0,1408.5,176.1,880.3,352.1,polo city
Polson Police Dept,MS,12,4555.0,23.0,0,3.0,0,20,263.0,25,224.0,14,504.9,0.0,65.9,0.0,439.1,5773.9,548.8,4917.7,307.4,polson
Pondera County Sheriff Department,MS,12,,0.0,0,0.0,0,0,6.0,0,5.0,1,,,,,,,,,,pondera county
Pontotoc County Sheriff Department,MS,1,,0.0,0,0.0,0,0,0.0,0,0.0,0,,,,,,,,,,pontotoc county
Poplar City Police Dept,MS,2,825.0,2.0,0,0.0,0,2,1.0,0,1.0,0,,,,,,,,,,poplar city
Poplar Bluff City Police Dept,MS,12,17167.0,138.0,1,7.0,28,102,1344.0,265,1036.0,43,803.9,5.8,40.8,163.1,594.2,7829.0,1543.7,6034.8,250.5,poplar bluff city
Poplarville Police Dept,MS,12,2896.0,0.0,0,0.0,0,0,100.0,44,52.0,4,0.0,0.0,0.0,0.0,0.0,3453.0,1519.3,1795.6,138.1,poplarville
Town Of Port Gibson Police Dept,MS,11,1568.0,3.0,0,0.0,2,1,18.0,9,9.0,0,,,,,,,,,,town of port gibson
Portageville Police Dept,MS,12,3203.0,1.0,0,0.0,1,0,22.0,0,22.0,0,31.2,0.0,0.0,31.2,0.0,686.9,0.0,686.9,0.0,portageville
Potosi Police Dept,MS,12,2652.0,5.0,0,0.0,1,4,204.0,28,170.0,6,188.5,0.0,0.0,37.7,150.8,7692.3,1055.8,6410.3,226.2,potosi
Powell County Sheriff Office,MS,12,,15.0,1,2.0,0,12,60.0,6,52.0,2,,,,,,,,,,powell county
Prairie County Sheriff Department,MS,12,,2.0,0,0.0,0,2,6.0,0,4.0,2,,,,,,,,,,prairie county
Pulaski County Sheriff Department,MS,12,,154.0,3,12.0,9,130,512.0,221,265.0,26,,,,,,,,,,pulaski county
Purdy City Police Dept,MS,12,1091.0,1.0,0,0.0,1,0,29.0,12,16.0,1,91.7,0.0,0.0,91.7,0.0,2658.1,1099.9,1466.5,91.7,purdy city
Purvis Police Dept,MS,10,2245.0,1.0,0,0.0,0,1,5.0,2,3.0,0,,,,,,,,,,purvis
Putnam County Sheriff Department,MS,12,,0.0,0,0.0,0,0,11.0,5,6.0,0,,,,,,,,,,putnam county
Puxico Police Dept,MS,12,878.0,1.0,0,0.0,0,1,3.0,1,1.0,1,113.9,0.0,0.0,0.0,113.9,341.7,113.9,113.9,113.9,puxico
Queen City Police Dept,MS,12,592.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,queen city
Qulin Police Dept,MS,12,463.0,0.0,0,0.0,0,0,25.0,3,21.0,1,0.0,0.0,0.0,0.0,0.0,5399.6,647.9,4535.6,216.0,qulin
Ralls County Sheriff Department,MS,12,,6.0,0,0.0,0,6,143.0,36,99.0,8,,,,,,,,,,ralls county
Randolph County Sheriff Department,MS,12,,9.0,0,2.0,1,6,92.0,28,62.0,2,,,,,,,,,,randolph county
Randolph Police Dept,MS,12,52.0,0.0,0,0.0,0,0,6.0,1,4.0,1,0.0,0.0,0.0,0.0,0.0,11538.5,1923.1,7692.3,1923.1,randolph
Rankin County Sheriff Department,MS,12,,38.0,3,2.0,6,27,638.0,134,456.0,48,,,,,,,,,,rankin county
Ravalli County Sheriff Office,MS,12,,44.0,1,3.0,1,39,357.0,37,304.0,16,,,,,,,,,,ravalli county
Ray County Sheriff Department,MS,12,,37.0,0,4.0,0,33,198.0,71,113.0,14,,,,,,,,,,ray county
Raymore Police Dept,MS,12,19354.0,19.0,0,1.0,5,13,393.0,35,346.0,12,98.2,0.0,5.2,25.8,67.2,2030.6,180.8,1787.7,62.0,raymore
Raytown Police Dept,MS,12,29678.0,111.0,1,11.0,45,54,1305.0,276,906.0,123,374.0,3.4,37.1,151.6,182.0,4397.2,930.0,3052.8,414.4,raytown
Red Lodge Police Dept,MS,12,2129.0,12.0,0,2.0,0,10,68.0,9,55.0,4,563.6,0.0,93.9,0.0,469.7,3194.0,422.7,2583.4,187.9,red lodge
Reeds Spring Police Dept,MS,12,915.0,2.0,0,0.0,0,2,8.0,4,4.0,0,218.6,0.0,0.0,0.0,218.6,874.3,437.2,437.2,0.0,reeds spring
Republic Police Dept,MS,12,14892.0,67.0,0,1.0,0,66,494.0,55,424.0,15,449.9,0.0,6.7,0.0,443.2,3317.2,369.3,2847.2,100.7,republic
Reynolds County Sheriff Department,MS,12,,22.0,3,0.0,0,19,78.0,32,41.0,5,,,,,,,,,,reynolds county
