county,county_fips,place,place_fips,state_fips,place,url,state
fredericksburg city,630,fredericksburg city,29744,51,Fredericksburg,gfredericksburg,virginia
hampton city,650,hampton city,35000,51,Hampton,ghampton,virginia
harrisonburg city,660,harrisonburg city,35624,51,Harrisonburg,gharrisonburg,virginia
lynchburg city,680,lynchburg city,47672,51,Lynchburg,glynchburg,virginia
,,,,51,New River Valley,gblacksburg,virginia
newport news city,700,newport news city,56000,51,Newport News,gnewportnews,virginia
norfolk city,710,norfolk city,57000,51,Norfolk,gnorfolk,virginia
portsmouth city,740,portsmouth city,64000,51,Portsmouth,gportsmouth,virginia
richmond county,159,richmond city,67000,51,Richmond,grichmond,virginia
roanoke county,161,roanoke city,68000,51,Roanoke,groanoke,virginia
,,,,51,Southwest Virginia,gswva,virginia
suffolk city,800,suffolk city,76432,51,Suffolk,gsuffolk,virginia
virginia beach city,810,virginia beach city,82000,51,Virginia Beach,gvirginiabeach,virginia
,,bellingham city,5280,53,Bellingham,gbellingham,washington
,,everett city,22640,53,Everett,geverett,washington
,,moses lake city,47245,53,Moses Lake,gmoseslake,washington
,,,,53,Mt. Vernon,gmtvernon,washington
,,olympia city,51300,53,Olympia,golympia,washington
,,pullman city,56625,53,Pullman,gpullman,washington
,,seattle city,63000,53,Seattle,gseattle,washington
,,,,53,Spokane / Coeur d'Alene,gspokane,washington
,,tacoma city,70000,53,Tacoma,gtacoma,washington
,,,,53,Tri-cities,gtricitieswa,washington
,,wenatchee city,77105,53,Wenatchee,gwenatchee,washington
yakima county,077,yakima city,80010,53,Yakima,gyakima,washington
,,charleston city,14600,54,Charleston,gcharlestonwv,west virginia
,,huntington city,39460,54,Huntington,ghuntington,west virginia
,,martinsburg city,52060,54,Martinsburg,gmartinsburg,west virginia
,,morgantown city,55756,54,Morgantown,gmorgantown,west virginia
,,parkersburg city,62140,54,Parkersburg,gparkersburg,west virginia
,,,,51,Southern West Virginia,gsouthernwestvirginia,west virginia
,,wheeling city,86452,54,Wheeling,gwheeling,west virginia
,,appleton city,2375,55,Appleton,gappleton,wisconsin
eau claire county,035,eau claire city,22300,55,Eau Claire,geauclaire,wisconsin
,,green bay city,31000,55,Green Bay,ggreenbay,wisconsin
,,janesville city,37825,55,Janesville,gjanesville,wisconsin
la crosse county,063,la crosse city,40775,55,La Crosse,glacrosse,wisconsin
,,madison city,48000,55,Madison,gmadison,wisconsin
milwaukee county,079,milwaukee city,53000,55,Milwaukee,gmilwaukee,wisconsin
racine county,101,racine city,66000,55,Racine,gracine,wisconsin
sheboygan county,117,sheboygan city,72975,55,Sheboygan,gsheboygan,wisconsin
,,wausau city,84475,55,Wausau,gwausau,wisconsin
,,,,56,Wyoming,wyoming,wyoming
,,,,33,New Hampshire, newhampshire, new hampshire
,,,,50,Vermont, burlington, vermont
,,,,10,Delaware, delaware, delaware
,,,,44,Rhode Island, providence, rhode island
